latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.800003,-117.899994,45.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,60.0
2020-03-02,71.2
2020-03-03,79.3
2020-03-04,70.7
2020-03-05,76.0
2020-03-06,70.5
2020-03-07,62.8
2020-03-08,64.2
2020-03-09,71.9
2020-03-10,66.5
2020-03-11,68.2
2020-03-12,65.1
2020-03-13,57.4
2020-03-14,60.0
2020-03-15,61.1
2020-03-16,60.5
2020-03-17,57.4
2020-03-18,60.3
2020-03-19,57.0
2020-03-20,60.9
2020-03-21,62.7
2020-03-22,66.0
2020-03-23,61.9
2020-03-24,61.3
2020-03-25,59.7
2020-03-26,58.8
2020-03-27,60.7
2020-03-28,62.7
2020-03-29,62.7
2020-03-30,69.1
2020-03-31,71.8
2020-04-01,67.6
2020-04-02,65.6
2020-04-03,66.0
2020-04-04,64.0
2020-04-05,59.8
2020-04-06,57.3
2020-04-07,61.7
2020-04-08,57.5
2020-04-09,55.1
2020-04-10,60.3
2020-04-11,66.3
2020-04-12,58.2
2020-04-13,59.9
2020-04-14,72.7
2020-04-15,75.1
2020-04-16,69.0
2020-04-17,63.0
2020-04-18,63.3
2020-04-19,64.5
2020-04-20,62.9
2020-04-21,68.8
2020-04-22,77.5
2020-04-23,79.5
2020-04-24,89.6
2020-04-25,84.5
2020-04-26,82.5
2020-04-27,77.6
2020-04-28,78.9
2020-04-29,76.5
2020-04-30,77.1
2020-05-01,74.9
2020-05-02,76.1
2020-05-03,74.5
2020-05-04,79.4
2020-05-05,87.3
2020-05-06,89.5
2020-05-07,88.0
2020-05-08,80.7
2020-05-09,77.0
2020-05-10,73.4
2020-05-11,73.2
2020-05-12,69.7
2020-05-13,71.9
2020-05-14,74.5
2020-05-15,76.5
2020-05-16,79.7
2020-05-17,76.4
2020-05-18,68.4
2020-05-19,69.5
2020-05-20,73.4
2020-05-21,81.7
2020-05-22,74.6
2020-05-23,73.5
2020-05-24,78.0
2020-05-25,81.6
2020-05-26,83.5
2020-05-27,81.4
