latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.800003,-97.1,168.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,74.2
2020-03-02,72.9
2020-03-03,68.1
2020-03-04,58.4
2020-03-05,69.5
2020-03-06,63.6
2020-03-07,61.3
2020-03-08,65.7
2020-03-09,75.8
2020-03-10,75.7
2020-03-11,82.7
2020-03-12,83.6
2020-03-13,71.3
2020-03-14,70.7
2020-03-15,56.6
2020-03-16,69.9
2020-03-17,67.1
2020-03-18,78.2
2020-03-19,80.1
2020-03-20,68.2
2020-03-21,60.3
2020-03-22,62.1
2020-03-23,69.4
2020-03-24,82.3
2020-03-25,84.5
2020-03-26,82.9
2020-03-27,81.2
2020-03-28,74.5
2020-03-29,70.6
2020-03-30,61.4
2020-03-31,63.9
2020-04-01,70.5
2020-04-02,68.8
2020-04-03,65.3
2020-04-04,52.0
2020-04-05,62.0
2020-04-06,71.3
2020-04-07,84.5
2020-04-08,90.6
2020-04-09,76.7
2020-04-10,70.1
2020-04-11,71.0
2020-04-12,78.8
2020-04-13,54.9
2020-04-14,53.4
2020-04-15,61.1
2020-04-16,70.6
2020-04-17,65.8
2020-04-18,63.8
2020-04-19,80.9
2020-04-20,73.3
2020-04-21,81.6
2020-04-22,86.1
2020-04-23,80.3
2020-04-24,88.3
2020-04-25,75.1
2020-04-26,80.2
2020-04-27,83.5
2020-04-28,87.9
2020-04-29,76.7
2020-04-30,80.1
2020-05-01,85.4
2020-05-02,87.1
2020-05-03,89.9
2020-05-04,91.1
2020-05-05,83.0
2020-05-06,81.1
2020-05-07,84.8
2020-05-08,76.7
2020-05-09,73.2
2020-05-10,76.4
2020-05-11,80.1
2020-05-12,75.4
2020-05-13,82.1
2020-05-14,83.7
2020-05-15,84.6
2020-05-16,69.8
2020-05-17,82.9
2020-05-18,87.5
2020-05-19,89.9
2020-05-20,79.0
2020-05-21,82.2
2020-05-22,87.2
2020-05-23,84.8
2020-05-24,82.4
2020-05-25,75.0
2020-05-26,74.0
2020-05-27,82.0
2020-05-28,83.1
2020-05-29,84.3
2020-05-30,83.9
2020-05-31,84.4
2020-06-01,84.2
2020-06-02,86.0
2020-06-03,89.5
2020-06-04,92.1
2020-06-05,92.4
2020-06-06,92.8
2020-06-07,91.1
2020-06-08,93.3
2020-06-09,97.1
2020-06-10,88.0
2020-06-11,89.9
2020-06-12,89.6
2020-06-13,90.9
2020-06-14,91.0
2020-06-15,91.5
