latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.300003,-76.6,5.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,46.8
2020-03-02,58.3
2020-03-03,57.2
2020-03-04,59.3
2020-03-05,52.6
2020-03-06,45.7
2020-03-07,48.4
2020-03-08,57.2
2020-03-09,66.2
2020-03-10,66.8
2020-03-11,52.5
2020-03-12,58.3
2020-03-13,70.0
2020-03-14,56.2
2020-03-15,51.2
2020-03-16,51.7
2020-03-17,59.6
2020-03-18,54.0
2020-03-19,67.6
2020-03-20,75.7
2020-03-21,64.0
2020-03-22,49.6
2020-03-23,44.2
2020-03-24,54.5
2020-03-25,46.8
2020-03-26,58.0
2020-03-27,64.1
2020-03-28,55.0
2020-03-29,63.9
2020-03-30,66.4
2020-03-31,51.5
2020-04-01,53.8
2020-04-02,58.8
2020-04-03,60.6
2020-04-04,56.3
2020-04-05,64.6
2020-04-06,65.9
2020-04-07,68.0
2020-04-08,73.2
2020-04-09,66.4
2020-04-10,50.3
2020-04-11,58.1
2020-04-12,66.8
2020-04-13,70.5
2020-04-14,57.2
2020-04-15,53.1
2020-04-16,50.4
2020-04-17,55.0
2020-04-18,54.0
2020-04-19,61.3
2020-04-20,60.3
2020-04-21,63.9
2020-04-22,55.1
2020-04-23,60.8
2020-04-24,52.7
2020-04-25,62.7
2020-04-26,54.0
2020-04-27,56.0
2020-04-28,58.4
2020-04-29,67.1
2020-04-30,62.2
2020-05-01,64.4
2020-05-02,68.9
2020-05-03,74.2
2020-05-04,68.4
2020-05-05,55.7
2020-05-06,53.8
2020-05-07,64.4
2020-05-08,62.6
2020-05-09,48.8
2020-05-10,61.0
2020-05-11,57.6
2020-05-12,57.8
2020-05-13,65.4
2020-05-14,68.0
2020-05-15,79.5
2020-05-16,76.8
2020-05-17,69.1
2020-05-18,65.6
2020-05-19,66.6
2020-05-20,61.0
2020-05-21,67.3
2020-05-22,67.5
2020-05-23,78.0
2020-05-24,66.5
2020-05-25,72.1
2020-05-26,75.0
2020-05-27,74.9
2020-05-28,76.0
2020-05-29,82.0
2020-05-30,80.6
2020-05-31,70.9
2020-06-01,73.4
2020-06-02,73.0
2020-06-03,88.0
2020-06-04,86.7
2020-06-05,80.7
2020-06-06,86.3
2020-06-07,78.8
2020-06-08,79.6
2020-06-09,86.7
2020-06-10,88.1
2020-06-11,83.6
2020-06-12,84.2
2020-06-13,76.7
2020-06-14,75.3
2020-06-15,76.8
2020-06-16,76.0
2020-06-17,75.2
2020-06-18,79.1
2020-06-19,81.6
2020-06-20,79.0
2020-06-21,80.9
2020-06-22,86.4
2020-06-23,84.7
2020-06-24,82.3
2020-06-25,82.5
2020-06-26,85.7
2020-06-27,90.2
2020-06-28,86.8
2020-06-29,89.2
