latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.300003,-71.1,11.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,34.5
2020-03-02,49.5
2020-03-03,60.7
2020-03-04,49.6
2020-03-05,50.6
2020-03-06,46.1
2020-03-07,42.6
2020-03-08,52.4
2020-03-09,66.7
2020-03-10,63.5
2020-03-11,54.3
2020-03-12,47.0
2020-03-13,56.9
2020-03-14,51.9
2020-03-15,45.6
2020-03-16,36.8
2020-03-17,43.9
2020-03-18,51.5
2020-03-19,42.9
2020-03-20,65.0
2020-03-21,56.7
2020-03-22,36.0
2020-03-23,40.2
2020-03-24,51.6
2020-03-25,43.5
2020-03-26,50.8
2020-03-27,58.7
2020-03-28,54.8
2020-03-29,46.1
2020-03-30,44.1
2020-03-31,42.9
2020-04-01,42.1
2020-04-02,42.1
2020-04-03,43.4
2020-04-04,47.1
2020-04-05,57.4
2020-04-06,58.7
2020-04-07,59.3
2020-04-08,51.1
2020-04-09,48.7
2020-04-10,50.6
2020-04-11,50.2
2020-04-12,59.0
2020-04-13,59.4
2020-04-14,57.6
2020-04-15,50.8
2020-04-16,47.7
2020-04-17,50.1
2020-04-18,41.6
2020-04-19,59.7
2020-04-20,49.7
2020-04-21,53.3
2020-04-22,45.2
2020-04-23,54.7
2020-04-24,43.5
2020-04-25,60.5
2020-04-26,50.9
2020-04-27,40.9
2020-04-28,49.4
2020-04-29,52.7
2020-04-30,48.8
2020-05-01,60.1
2020-05-02,66.5
2020-05-03,72.5
2020-05-04,65.2
2020-05-05,55.9
2020-05-06,54.5
2020-05-07,60.0
2020-05-08,57.3
2020-05-09,46.3
2020-05-10,57.9
2020-05-11,60.6
2020-05-12,54.9
2020-05-13,56.5
2020-05-14,65.5
2020-05-15,74.7
2020-05-16,67.7
2020-05-17,65.1
2020-05-18,62.5
2020-05-19,55.9
2020-05-20,59.7
2020-05-21,71.3
2020-05-22,78.0
2020-05-23,65.6
2020-05-24,57.4
2020-05-25,64.6
2020-05-26,77.9
2020-05-27,81.4
2020-05-28,77.1
2020-05-29,76.3
2020-05-30,79.3
2020-05-31,68.3
2020-06-01,62.4
2020-06-02,70.0
2020-06-03,77.0
2020-06-04,83.9
2020-06-05,79.9
2020-06-06,84.2
2020-06-07,67.7
2020-06-08,75.9
2020-06-09,77.2
2020-06-10,71.4
2020-06-11,75.8
2020-06-12,81.2
2020-06-13,71.6
2020-06-14,67.4
2020-06-15,66.7
2020-06-16,71.7
2020-06-17,76.6
2020-06-18,84.7
2020-06-19,86.1
2020-06-20,89.7
2020-06-21,87.1
2020-06-22,78.6
2020-06-23,87.3
2020-06-24,83.0
2020-06-25,84.5
2020-06-26,83.0
2020-06-27,83.2
2020-06-28,83.1
2020-06-29,73.9
2020-06-30,71.1
2020-07-01,72.7
