latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.800003,-87.6,183.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,49.9
2020-03-02,44.5
2020-03-03,44.4
2020-03-04,39.3
2020-03-05,48.3
2020-03-06,38.4
2020-03-07,46.1
2020-03-08,54.1
2020-03-09,51.4
2020-03-10,48.9
2020-03-11,42.5
2020-03-12,50.9
2020-03-13,45.0
2020-03-14,38.5
2020-03-15,35.7
2020-03-16,38.9
2020-03-17,39.6
2020-03-18,42.4
2020-03-19,55.4
2020-03-20,55.7
2020-03-21,31.2
2020-03-22,35.7
2020-03-23,38.6
2020-03-24,41.0
2020-03-25,52.2
2020-03-26,48.1
2020-03-27,46.2
2020-03-28,59.1
2020-03-29,58.5
2020-03-30,44.8
2020-03-31,38.5
2020-04-01,42.9
2020-04-02,46.1
2020-04-03,53.6
2020-04-04,52.6
2020-04-05,41.0
2020-04-06,54.5
2020-04-07,67.5
2020-04-08,55.8
2020-04-09,47.4
2020-04-10,42.9
2020-04-11,57.2
2020-04-12,59.9
2020-04-13,52.8
2020-04-14,40.1
2020-04-15,37.3
2020-04-16,43.0
2020-04-17,39.1
2020-04-18,53.0
2020-04-19,51.3
2020-04-20,57.0
2020-04-21,50.7
2020-04-22,55.1
2020-04-23,53.3
2020-04-24,43.8
2020-04-25,43.6
2020-04-26,49.6
2020-04-27,60.7
2020-04-28,66.4
2020-04-29,59.0
2020-04-30,46.5
2020-05-01,54.7
2020-05-02,68.1
2020-05-03,65.1
2020-05-04,47.7
2020-05-05,46.4
2020-05-06,51.9
2020-05-07,56.0
2020-05-08,45.0
2020-05-09,52.9
2020-05-10,51.6
2020-05-11,45.1
2020-05-12,52.7
2020-05-13,59.2
2020-05-14,65.8
2020-05-15,65.0
2020-05-16,53.8
2020-05-17,62.7
2020-05-18,57.5
2020-05-19,55.6
2020-05-20,56.1
2020-05-21,58.1
2020-05-22,59.9
2020-05-23,69.3
2020-05-24,76.2
2020-05-25,75.5
2020-05-26,74.6
2020-05-27,69.0
2020-05-28,70.9
2020-05-29,67.7
2020-05-30,59.7
2020-05-31,56.5
2020-06-01,68.6
2020-06-02,80.5
2020-06-03,74.4
2020-06-04,75.4
2020-06-05,80.6
2020-06-06,68.1
2020-06-07,68.3
2020-06-08,78.0
2020-06-09,77.8
2020-06-10,76.7
2020-06-11,76.3
2020-06-12,69.9
2020-06-13,60.8
2020-06-14,61.1
2020-06-15,64.9
2020-06-16,72.5
2020-06-17,74.0
2020-06-18,75.0
2020-06-19,80.7
2020-06-20,84.2
2020-06-21,73.5
2020-06-22,81.2
2020-06-23,73.6
2020-06-24,72.8
2020-06-25,75.1
2020-06-26,81.8
2020-06-27,79.8
2020-06-28,76.4
2020-06-29,81.3
2020-06-30,79.0
2020-07-01,78.9
2020-07-02,79.1
2020-07-03,79.1
2020-07-04,78.4
2020-07-05,81.0
2020-07-06,86.1
2020-07-07,86.2
2020-07-08,82.6
2020-07-09,88.2
2020-07-10,81.4
2020-07-11,82.5
2020-07-12,73.6
2020-07-13,76.1
2020-07-14,82.6
2020-07-15,83.3
2020-07-16,76.1
2020-07-17,83.6
2020-07-18,85.2
2020-07-19,83.4
2020-07-20,80.7
2020-07-21,79.9
2020-07-22,81.2
2020-07-23,75.0
2020-07-24,77.2
2020-07-25,83.7
2020-07-26,87.8
2020-07-27,80.9
2020-07-28,82.5
2020-07-29,83.0
2020-07-30,75.3
2020-07-31,75.3
2020-08-01,74.8
2020-08-02,78.4
2020-08-03,71.0
2020-08-04,67.3
2020-08-05,73.4
2020-08-06,75.2
2020-08-07,77.9
2020-08-08,83.0
2020-08-09,85.3
2020-08-10,85.0
2020-08-11,76.3
2020-08-12,77.4
2020-08-13,78.2
2020-08-14,78.6
2020-08-15,81.2
2020-08-16,77.5
2020-08-17,77.4
2020-08-18,73.1
2020-08-19,73.8
2020-08-20,80.4
2020-08-21,80.0
2020-08-22,82.7
2020-08-23,83.7
2020-08-24,89.7
2020-08-25,82.2
2020-08-26,88.8
2020-08-27,86.6
2020-08-28,87.6
2020-08-29,77.9
2020-08-30,72.4
2020-08-31,81.1
2020-09-01,75.3
2020-09-02,83.1
2020-09-03,81.1
2020-09-04,77.7
2020-09-05,77.2
2020-09-06,78.9
2020-09-07,70.2
2020-09-08,65.7
2020-09-09,66.7
2020-09-10,64.1
2020-09-11,70.3
2020-09-12,70.3
2020-09-13,70.6
2020-09-14,70.9
2020-09-15,74.6
2020-09-16,78.0
2020-09-17,70.0
2020-09-18,60.6
2020-09-19,60.8
2020-09-20,68.8
2020-09-21,71.5
2020-09-22,74.6
2020-09-23,74.3
2020-09-24,74.0
2020-09-25,75.0
2020-09-26,75.1
2020-09-27,74.4
2020-09-28,61.4
2020-09-29,58.6
2020-09-30,62.8
2020-10-01,55.9
2020-10-02,53.8
2020-10-03,56.0
2020-10-04,53.2
2020-10-05,59.5
2020-10-06,68.3
2020-10-07,68.2
2020-10-08,64.7
2020-10-09,74.0
2020-10-10,70.8
2020-10-11,65.9
2020-10-12,68.9
2020-10-13,67.4
2020-10-14,70.0
2020-10-15,63.1
2020-10-16,52.8
2020-10-17,60.7
2020-10-18,57.3
2020-10-19,49.1
2020-10-20,53.0
2020-10-21,53.9
2020-10-22,72.1
2020-10-23,66.4
2020-10-24,44.6
2020-10-25,46.9
2020-10-26,45.6
2020-10-27,39.6
2020-10-28,50.8
2020-10-29,47.1
2020-10-30,40.5
2020-10-31,54.4
2020-11-01,52.0
2020-11-02,48.7
2020-11-03,59.6
2020-11-04,63.6
2020-11-05,61.9
2020-11-06,63.3
2020-11-07,62.5
2020-11-08,65.6
2020-11-09,65.9
2020-11-10,66.5
2020-11-11,49.4
2020-11-12,50.7
2020-11-13,45.8
2020-11-14,48.3
2020-11-15,53.4
2020-11-16,45.8
2020-11-17,43.0
2020-11-18,48.3
2020-11-19,59.9
2020-11-20,55.8
2020-11-21,46.4
2020-11-22,43.5
2020-11-23,43.0
2020-11-24,44.2
2020-11-25,46.5
2020-11-26,46.2
2020-11-27,44.1
2020-11-28,47.6
2020-11-29,47.5
2020-11-30,38.3
2020-12-01,33.9
2020-12-02,42.4
2020-12-03,43.5
2020-12-04,42.7
2020-12-05,37.7
2020-12-06,36.1
2020-12-07,37.0
2020-12-08,37.9
2020-12-09,46.7
2020-12-10,49.1
2020-12-11,42.6
2020-12-12,41.6
2020-12-13,36.0
2020-12-14,31.2
2020-12-15,31.9
2020-12-16,33.0
2020-12-17,34.9
2020-12-18,37.4
2020-12-19,43.0
2020-12-20,40.2
2020-12-21,43.7
2020-12-22,40.2
2020-12-23,51.6
2020-12-24,34.4
2020-12-25,22.2
2020-12-26,32.1
2020-12-27,43.2
2020-12-28,33.9
2020-12-29,31.3
2020-12-30,39.3
2020-12-31,29.9
2021-01-01,34.0
2021-01-02,35.1
2021-01-03,34.2
2021-01-04,33.9
2021-01-05,36.0
2021-01-06,36.0
2021-01-07,36.1
2021-01-08,34.0
2021-01-09,33.6
2021-01-10,32.8
2021-01-11,29.8
2021-01-12,37.7
2021-01-13,40.2
2021-01-14,41.2
2021-01-15,36.6
2021-01-16,37.3
2021-01-17,33.1
2021-01-18,31.2
2021-01-19,31.9
2021-01-20,32.6
2021-01-21,38.9
2021-01-22,32.1
2021-01-23,29.8
2021-01-24,34.1
2021-01-25,33.1
2021-01-26,31.5
2021-01-27,29.4
2021-01-28,22.2
2021-01-29,30.6
2021-01-30,33.5
2021-01-31,32.1
2021-02-01,31.8
2021-02-02,31.3
2021-02-03,30.4
2021-02-04,35.0
2021-02-05,26.4
2021-02-06,13.4
2021-02-07,9.8
2021-02-08,15.9
2021-02-09,16.2
2021-02-10,19.8
2021-02-11,22.0
2021-02-12,20.5
2021-02-13,15.9
2021-02-14,8.0
2021-02-15,17.9
2021-02-16,20.4
2021-02-17,20.3
2021-02-18,23.5
2021-02-19,20.5
2021-02-20,24.8
2021-02-21,35.3
2021-02-22,37.1
2021-02-23,38.9
2021-02-24,39.6
2021-02-25,35.5
2021-02-26,37.7
2021-02-27,42.6
2021-02-28,46.6
2021-03-01,35.3
2021-03-02,39.4
2021-03-03,46.4
2021-03-04,33.4
2021-03-05,39.5
2021-03-06,37.3
2021-03-07,42.9
2021-03-08,53.5
2021-03-09,54.6
2021-03-10,58.7
2021-03-11,57.8
2021-03-12,42.1
2021-03-13,48.5
2021-03-14,42.8
2021-03-15,38.6
2021-03-16,38.4
2021-03-17,39.4
2021-03-18,39.8
2021-03-19,38.1
2021-03-20,46.7
2021-03-21,54.5
2021-03-22,56.2
2021-03-23,57.0
2021-03-24,53.4
2021-03-25,49.1
2021-03-26,39.6
2021-03-27,57.4
2021-03-28,51.3
2021-03-29,54.6
2021-03-30,60.9
2021-03-31,47.2
2021-04-01,35.7
2021-04-02,45.1
2021-04-03,59.8
2021-04-04,60.8
2021-04-05,64.9
2021-04-06,68.4
2021-04-07,67.2
2021-04-08,59.2
2021-04-09,58.3
2021-04-10,52.0
2021-04-11,51.0
2021-04-12,58.9
2021-04-13,53.1
2021-04-14,47.0
2021-04-15,46.9
2021-04-16,45.3
2021-04-17,45.5
2021-04-18,57.1
2021-04-19,48.7
2021-04-20,42.6
2021-04-21,44.3
2021-04-22,52.9
2021-04-23,56.2
2021-04-24,52.8
2021-04-25,49.9
2021-04-26,66.3
2021-04-27,74.2
2021-04-28,65.4
2021-04-29,56.4
2021-04-30,54.7
2021-05-01,71.6
2021-05-02,73.5
2021-05-03,67.0
2021-05-04,61.8
2021-05-05,49.2
2021-05-06,47.3
2021-05-07,51.4
2021-05-08,47.4
2021-05-09,47.6
2021-05-10,46.2
2021-05-11,46.8
2021-05-12,51.9
2021-05-13,60.9
2021-05-14,60.9
2021-05-15,57.2
2021-05-16,61.8
2021-05-17,62.6
2021-05-18,67.8
2021-05-19,68.7
2021-05-20,76.2
2021-05-21,78.5
2021-05-22,79.2
2021-05-23,74.3
2021-05-24,77.5
2021-05-25,79.2
2021-05-26,75.0
2021-05-27,60.1
2021-05-28,52.8
2021-05-29,54.3
2021-05-30,62.0
2021-05-31,68.1
2021-06-01,65.4
2021-06-02,65.1
2021-06-03,77.2
2021-06-04,82.1
2021-06-05,83.1
2021-06-06,81.5
2021-06-07,73.7
2021-06-08,74.3
2021-06-09,73.2
2021-06-10,74.3
2021-06-11,79.5
2021-06-12,76.4
2021-06-13,74.7
2021-06-14,74.2
2021-06-15,68.0
2021-06-16,68.4
2021-06-17,84.6
2021-06-18,84.9
2021-06-19,87.8
2021-06-20,76.3
2021-06-21,72.6
2021-06-22,70.0
2021-06-23,74.1
2021-06-24,74.7
2021-06-25,73.3
2021-06-26,77.6
2021-06-27,80.6
2021-06-28,78.0
2021-06-29,82.1
2021-06-30,76.9
2021-07-01,68.8
2021-07-02,66.2
2021-07-03,82.5
2021-07-04,84.1
2021-07-05,85.3
2021-07-06,85.9
2021-07-07,84.1
2021-07-08,68.5
2021-07-09,70.6
2021-07-10,72.7
2021-07-11,67.9
