latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.100006,-84.5,163.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,58.1
2020-03-02,52.0
2020-03-03,57.5
2020-03-04,60.2
2020-03-05,59.0
2020-03-06,47.0
2020-03-07,48.8
2020-03-08,62.9
2020-03-09,63.8
2020-03-10,58.3
2020-03-11,57.3
2020-03-12,66.1
2020-03-13,61.2
2020-03-14,42.4
2020-03-15,45.9
2020-03-16,54.4
2020-03-17,52.1
2020-03-18,60.2
2020-03-19,65.9
2020-03-20,68.2
2020-03-21,43.6
2020-03-22,47.3
2020-03-23,54.7
2020-03-24,56.5
2020-03-25,64.1
2020-03-26,70.4
2020-03-27,71.3
2020-03-28,76.6
2020-03-29,68.0
2020-03-30,60.4
2020-03-31,47.1
2020-04-01,53.3
2020-04-02,59.7
2020-04-03,66.5
2020-04-04,71.8
2020-04-05,61.8
2020-04-06,66.8
2020-04-07,76.5
2020-04-08,77.3
2020-04-09,61.4
2020-04-10,49.3
2020-04-11,61.7
2020-04-12,67.8
2020-04-13,57.8
2020-04-14,46.8
2020-04-15,52.8
2020-04-16,51.4
2020-04-17,55.6
2020-04-18,54.0
2020-04-19,57.4
2020-04-20,63.2
2020-04-21,54.3
2020-04-22,67.0
2020-04-23,55.9
2020-04-24,65.0
2020-04-25,67.8
2020-04-26,55.1
2020-04-27,65.0
2020-04-28,74.7
2020-04-29,63.9
2020-04-30,53.3
2020-05-01,65.4
2020-05-02,80.0
2020-05-03,70.8
2020-05-04,68.2
2020-05-05,57.1
2020-05-06,58.6
2020-05-07,64.7
2020-05-08,54.5
2020-05-09,53.3
2020-05-10,63.7
2020-05-11,52.0
2020-05-12,57.8
2020-05-13,56.8
2020-05-14,77.6
2020-05-15,74.0
2020-05-16,75.8
2020-05-17,78.8
2020-05-18,69.8
2020-05-19,64.2
2020-05-20,59.6
2020-05-21,61.7
2020-05-22,74.0
2020-05-23,80.2
2020-05-24,85.0
2020-05-25,85.2
2020-05-26,84.6
2020-05-27,82.6
2020-05-28,80.1
2020-05-29,75.8
2020-05-30,71.9
2020-05-31,69.4
2020-06-01,74.0
2020-06-02,86.1
2020-06-03,86.6
2020-06-04,81.3
2020-06-05,85.2
2020-06-06,89.1
2020-06-07,81.4
2020-06-08,85.4
2020-06-09,87.6
2020-06-10,88.7
2020-06-11,79.1
2020-06-12,82.1
2020-06-13,78.8
2020-06-14,73.0
2020-06-15,75.6
2020-06-16,78.8
2020-06-17,81.6
2020-06-18,80.8
2020-06-19,85.5
2020-06-20,87.3
2020-06-21,87.9
2020-06-22,84.3
2020-06-23,79.3
2020-06-24,77.3
2020-06-25,80.3
2020-06-26,85.2
2020-06-27,82.8
2020-06-28,79.4
2020-06-29,84.9
2020-06-30,84.4
2020-07-01,85.7
2020-07-02,87.9
2020-07-03,90.2
2020-07-04,91.2
2020-07-05,91.6
2020-07-06,91.7
2020-07-07,91.3
2020-07-08,91.2
2020-07-09,94.3
2020-07-10,84.9
2020-07-11,86.5
2020-07-12,81.2
2020-07-13,83.8
2020-07-14,87.5
2020-07-15,91.2
2020-07-16,87.0
2020-07-17,89.1
2020-07-18,91.3
2020-07-19,93.9
2020-07-20,88.8
2020-07-21,91.4
2020-07-22,85.4
2020-07-23,83.1
2020-07-24,87.0
2020-07-25,89.2
2020-07-26,90.0
2020-07-27,90.7
2020-07-28,87.3
2020-07-29,91.4
2020-07-30,81.7
2020-07-31,82.1
2020-08-01,82.1
2020-08-02,79.0
2020-08-03,82.5
2020-08-04,77.8
2020-08-05,76.5
2020-08-06,78.3
2020-08-07,79.5
2020-08-08,84.0
2020-08-09,88.5
2020-08-10,85.4
2020-08-11,82.5
2020-08-12,84.9
2020-08-13,85.9
2020-08-14,81.9
2020-08-15,85.5
2020-08-16,82.8
2020-08-17,85.1
2020-08-18,75.6
2020-08-19,78.8
2020-08-20,81.2
2020-08-21,83.0
2020-08-22,84.2
2020-08-23,84.2
2020-08-24,88.4
2020-08-25,91.2
2020-08-26,89.7
2020-08-27,83.6
2020-08-28,86.4
2020-08-29,85.0
2020-08-30,79.0
2020-08-31,80.4
2020-09-01,84.2
2020-09-02,83.8
2020-09-03,83.5
2020-09-04,78.7
2020-09-05,80.9
2020-09-06,82.7
2020-09-07,87.1
2020-09-08,87.2
2020-09-09,87.2
2020-09-10,85.0
2020-09-11,79.8
2020-09-12,85.9
2020-09-13,81.3
