latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.5,-81.7,203.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,44.0
2020-03-02,45.7
2020-03-03,45.8
2020-03-04,40.4
2020-03-05,48.5
2020-03-06,38.5
2020-03-07,37.6
2020-03-08,57.9
2020-03-09,62.3
2020-03-10,54.8
2020-03-11,47.7
2020-03-12,56.0
2020-03-13,52.7
2020-03-14,37.4
2020-03-15,38.9
2020-03-16,47.9
2020-03-17,44.1
2020-03-18,51.1
2020-03-19,59.5
2020-03-20,62.5
2020-03-21,33.0
2020-03-22,44.1
2020-03-23,42.2
2020-03-24,46.9
2020-03-25,50.3
2020-03-26,61.1
2020-03-27,49.9
2020-03-28,63.7
2020-03-29,66.5
2020-03-30,51.2
2020-03-31,42.8
2020-04-01,45.5
2020-04-02,50.4
2020-04-03,48.6
2020-04-04,55.4
2020-04-05,48.6
2020-04-06,53.8
2020-04-07,65.1
2020-04-08,59.2
2020-04-09,53.0
2020-04-10,43.8
2020-04-11,52.8
2020-04-12,62.4
2020-04-13,58.4
2020-04-14,45.4
2020-04-15,44.5
2020-04-16,41.5
2020-04-17,37.3
2020-04-18,50.3
2020-04-19,58.7
2020-04-20,51.3
2020-04-21,50.0
2020-04-22,40.6
2020-04-23,58.4
2020-04-24,50.3
2020-04-25,57.5
2020-04-26,47.0
2020-04-27,55.6
2020-04-28,63.6
2020-04-29,69.5
2020-04-30,57.7
2020-05-01,53.8
2020-05-02,71.1
2020-05-03,66.5
2020-05-04,54.0
2020-05-05,48.6
2020-05-06,51.4
2020-05-07,61.3
2020-05-08,43.0
2020-05-09,46.9
2020-05-10,58.0
2020-05-11,45.9
2020-05-12,53.9
2020-05-13,53.0
2020-05-14,70.4
2020-05-15,70.0
2020-05-16,67.4
2020-05-17,72.0
2020-05-18,70.3
2020-05-19,69.2
2020-05-20,63.2
2020-05-21,69.1
2020-05-22,63.8
2020-05-23,68.6
2020-05-24,82.0
2020-05-25,82.6
2020-05-26,82.7
2020-05-27,82.4
2020-05-28,76.9
2020-05-29,73.5
2020-05-30,64.6
2020-05-31,55.7
2020-06-01,68.3
2020-06-02,80.9
2020-06-03,77.3
2020-06-04,76.7
2020-06-05,81.7
2020-06-06,72.9
2020-06-07,67.5
2020-06-08,72.7
2020-06-09,86.9
2020-06-10,86.9
2020-06-11,73.6
2020-06-12,68.0
2020-06-13,62.6
2020-06-14,65.7
2020-06-15,70.3
2020-06-16,74.7
2020-06-17,78.4
2020-06-18,77.7
2020-06-19,78.7
2020-06-20,81.8
2020-06-21,85.4
2020-06-22,74.0
2020-06-23,76.6
2020-06-24,71.3
2020-06-25,76.7
2020-06-26,80.9
2020-06-27,77.4
2020-06-28,78.0
2020-06-29,79.3
2020-06-30,79.6
2020-07-01,79.2
2020-07-02,82.4
2020-07-03,85.0
2020-07-04,83.1
2020-07-05,84.3
2020-07-06,87.3
2020-07-07,88.5
2020-07-08,88.0
2020-07-09,90.0
2020-07-10,88.0
2020-07-11,79.3
2020-07-12,79.0
2020-07-13,73.9
2020-07-14,77.6
2020-07-15,85.8
2020-07-16,82.8
2020-07-17,82.4
2020-07-18,89.3
2020-07-19,89.4
2020-07-20,82.7
2020-07-21,81.2
2020-07-22,81.9
2020-07-23,78.4
2020-07-24,78.9
2020-07-25,82.0
2020-07-26,86.4
2020-07-27,84.5
2020-07-28,81.4
2020-07-29,84.5
2020-07-30,78.4
2020-07-31,79.1
2020-08-01,75.8
2020-08-02,75.3
2020-08-03,78.6
2020-08-04,71.4
2020-08-05,71.3
2020-08-06,75.0
2020-08-07,76.0
2020-08-08,78.2
2020-08-09,84.7
2020-08-10,87.4
2020-08-11,79.9
2020-08-12,80.2
2020-08-13,82.2
2020-08-14,84.6
2020-08-15,83.7
2020-08-16,79.4
2020-08-17,76.5
2020-08-18,72.2
2020-08-19,70.9
2020-08-20,76.7
2020-08-21,81.1
2020-08-22,83.2
2020-08-23,80.6
2020-08-24,85.4
2020-08-25,79.6
2020-08-26,83.6
2020-08-27,86.3
2020-08-28,82.7
2020-08-29,75.0
2020-08-30,71.1
2020-08-31,80.3
2020-09-01,83.1
2020-09-02,77.9
2020-09-03,81.2
2020-09-04,71.4
2020-09-05,78.1
2020-09-06,75.5
2020-09-07,76.5
2020-09-08,83.7
2020-09-09,82.6
2020-09-10,71.9
2020-09-11,66.4
2020-09-12,81.7
2020-09-13,73.9
2020-09-14,66.3
2020-09-15,69.7
2020-09-16,75.1
2020-09-17,64.5
2020-09-18,59.4
2020-09-19,60.5
2020-09-20,65.0
2020-09-21,67.4
2020-09-22,68.3
2020-09-23,73.2
2020-09-24,74.0
2020-09-25,77.7
2020-09-26,78.4
2020-09-27,79.3
2020-09-28,77.3
2020-09-29,62.7
2020-09-30,64.5
2020-10-01,62.0
2020-10-02,54.0
2020-10-03,56.6
2020-10-04,61.1
2020-10-05,56.9
2020-10-06,68.4
2020-10-07,69.2
2020-10-08,63.2
2020-10-09,73.9
2020-10-10,75.3
2020-10-11,64.7
2020-10-12,71.9
2020-10-13,63.5
2020-10-14,63.9
2020-10-15,64.4
2020-10-16,53.4
2020-10-17,56.8
2020-10-18,55.8
2020-10-19,54.1
2020-10-20,52.9
2020-10-21,63.1
2020-10-22,73.6
2020-10-23,76.0
2020-10-24,53.4
2020-10-25,50.3
2020-10-26,50.7
2020-10-27,47.7
2020-10-28,52.2
2020-10-29,49.7
2020-10-30,47.5
2020-10-31,49.2
2020-11-01,50.5
2020-11-02,44.4
2020-11-03,54.6
2020-11-04,65.0
2020-11-05,64.1
2020-11-06,65.9
2020-11-07,67.3
2020-11-08,69.8
2020-11-09,72.6
2020-11-10,73.6
2020-11-11,66.3
2020-11-12,48.9
2020-11-13,49.6
2020-11-14,47.5
2020-11-15,55.1
2020-11-16,44.5
2020-11-17,41.8
2020-11-18,41.3
2020-11-19,59.3
2020-11-20,60.0
2020-11-21,49.4
2020-11-22,42.2
2020-11-23,42.7
2020-11-24,43.5
2020-11-25,52.0
2020-11-26,53.4
2020-11-27,47.8
2020-11-28,43.8
2020-11-29,51.2
2020-11-30,42.2
2020-12-01,36.0
2020-12-02,37.3
2020-12-03,39.8
2020-12-04,42.7
2020-12-05,38.5
2020-12-06,34.8
2020-12-07,35.4
2020-12-08,35.8
2020-12-09,41.0
2020-12-10,48.3
2020-12-11,54.8
2020-12-12,56.0
2020-12-13,44.0
2020-12-14,35.8
2020-12-15,32.0
2020-12-16,33.9
2020-12-17,33.6
2020-12-18,35.0
2020-12-19,38.6
2020-12-20,38.9
2020-12-21,40.7
2020-12-22,39.3
2020-12-23,49.8
2020-12-24,48.2
2020-12-25,27.3
2020-12-26,26.4
2020-12-27,42.9
2020-12-28,43.2
2020-12-29,30.9
2020-12-30,46.0
2020-12-31,34.3
2021-01-01,41.8
2021-01-02,46.4
2021-01-03,38.8
2021-01-04,36.5
2021-01-05,36.3
2021-01-06,36.5
2021-01-07,33.9
2021-01-08,31.4
2021-01-09,35.7
2021-01-10,36.4
2021-01-11,33.2
2021-01-12,35.9
2021-01-13,44.0
2021-01-14,44.5
2021-01-15,38.8
2021-01-16,36.8
2021-01-17,37.7
2021-01-18,34.7
2021-01-19,35.0
2021-01-20,30.8
2021-01-21,41.6
2021-01-22,34.2
2021-01-23,24.9
2021-01-24,28.6
2021-01-25,34.1
2021-01-26,37.2
2021-01-27,29.7
2021-01-28,25.8
2021-01-29,23.4
2021-01-30,32.0
2021-01-31,35.9
2021-02-01,30.5
2021-02-02,31.3
2021-02-03,30.6
2021-02-04,37.6
2021-02-05,35.5
2021-02-06,22.9
2021-02-07,19.2
2021-02-08,25.0
2021-02-09,25.1
2021-02-10,22.5
2021-02-11,24.3
2021-02-12,28.7
2021-02-13,27.7
2021-02-14,25.1
2021-02-15,24.0
2021-02-16,24.2
2021-02-17,23.3
2021-02-18,29.2
2021-02-19,27.6
2021-02-20,24.1
2021-02-21,34.0
2021-02-22,36.6
2021-02-23,38.2
2021-02-24,47.0
2021-02-25,33.4
2021-02-26,38.6
2021-02-27,44.2
