latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.300003,-83.0,188.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,41.1
2020-03-02,51.9
2020-03-03,48.2
2020-03-04,44.6
2020-03-05,43.2
2020-03-06,38.2
2020-03-07,40.5
2020-03-08,54.8
2020-03-09,60.1
2020-03-10,51.9
2020-03-11,44.1
2020-03-12,48.4
2020-03-13,48.5
2020-03-14,37.9
2020-03-15,42.0
2020-03-16,43.3
2020-03-17,48.5
2020-03-18,45.3
2020-03-19,52.1
2020-03-20,60.8
2020-03-21,34.3
2020-03-22,38.0
2020-03-23,45.5
2020-03-24,43.9
2020-03-25,52.7
2020-03-26,59.1
2020-03-27,48.5
2020-03-28,53.3
2020-03-29,62.5
2020-03-30,48.0
2020-03-31,45.3
2020-04-01,49.2
2020-04-02,57.8
2020-04-03,56.9
2020-04-04,55.3
2020-04-05,51.7
2020-04-06,53.0
2020-04-07,63.4
2020-04-08,67.0
2020-04-09,51.3
2020-04-10,46.4
2020-04-11,54.4
2020-04-12,58.8
2020-04-13,54.0
2020-04-14,42.0
2020-04-15,38.7
2020-04-16,42.4
2020-04-17,36.7
2020-04-18,51.7
2020-04-19,60.1
2020-04-20,51.5
2020-04-21,49.3
2020-04-22,40.4
2020-04-23,46.3
2020-04-24,55.2
2020-04-25,56.0
2020-04-26,56.2
2020-04-27,59.1
2020-04-28,64.1
2020-04-29,62.1
2020-04-30,54.4
2020-05-01,61.8
2020-05-02,72.2
2020-05-03,71.6
2020-05-04,53.0
2020-05-05,50.6
2020-05-06,57.2
2020-05-07,61.2
2020-05-08,43.4
2020-05-09,49.0
2020-05-10,57.6
2020-05-11,48.1
2020-05-12,56.7
2020-05-13,52.9
2020-05-14,62.8
2020-05-15,70.0
2020-05-16,64.7
2020-05-17,58.4
2020-05-18,60.2
2020-05-19,65.9
2020-05-20,61.3
2020-05-21,64.3
2020-05-22,65.9
2020-05-23,69.8
2020-05-24,80.1
2020-05-25,81.3
2020-05-26,82.1
2020-05-27,77.5
2020-05-28,74.9
2020-05-29,70.5
2020-05-30,67.3
2020-05-31,61.7
2020-06-01,69.9
2020-06-02,84.7
2020-06-03,82.3
2020-06-04,79.8
2020-06-05,84.0
2020-06-06,78.8
2020-06-07,71.7
2020-06-08,75.1
2020-06-09,82.9
2020-06-10,82.6
2020-06-11,75.6
2020-06-12,71.4
2020-06-13,64.5
2020-06-14,67.1
2020-06-15,72.2
2020-06-16,76.9
2020-06-17,79.6
2020-06-18,82.4
2020-06-19,82.8
2020-06-20,85.3
2020-06-21,85.6
2020-06-22,79.8
2020-06-23,78.6
2020-06-24,74.6
2020-06-25,77.9
2020-06-26,84.3
2020-06-27,83.2
2020-06-28,83.2
2020-06-29,82.9
2020-06-30,84.6
2020-07-01,83.9
2020-07-02,87.9
2020-07-03,90.3
2020-07-04,87.2
2020-07-05,88.5
2020-07-06,89.9
2020-07-07,92.8
2020-07-08,90.8
2020-07-09,90.7
2020-07-10,85.5
2020-07-11,84.1
2020-07-12,80.1
2020-07-13,78.1
2020-07-14,81.8
2020-07-15,85.2
2020-07-16,81.7
2020-07-17,85.0
2020-07-18,89.0
2020-07-19,86.7
2020-07-20,85.0
2020-07-21,81.9
2020-07-22,80.5
2020-07-23,79.7
2020-07-24,81.4
2020-07-25,83.6
2020-07-26,88.9
2020-07-27,85.9
2020-07-28,84.8
2020-07-29,84.2
2020-07-30,79.2
2020-07-31,80.9
2020-08-01,80.0
2020-08-02,73.5
2020-08-03,78.8
2020-08-04,72.0
2020-08-05,73.6
2020-08-06,75.9
2020-08-07,78.4
2020-08-08,80.6
2020-08-09,85.6
2020-08-10,86.4
2020-08-11,85.3
2020-08-12,83.2
2020-08-13,85.5
2020-08-14,84.6
2020-08-15,84.0
2020-08-16,78.5
2020-08-17,79.9
2020-08-18,74.4
2020-08-19,73.4
2020-08-20,77.4
2020-08-21,85.0
2020-08-22,86.1
2020-08-23,87.4
2020-08-24,88.7
2020-08-25,85.6
2020-08-26,84.3
2020-08-27,92.2
2020-08-28,83.9
2020-08-29,78.9
2020-08-30,72.6
2020-08-31,77.3
2020-09-01,80.7
2020-09-02,81.4
2020-09-03,83.4
2020-09-04,74.2
2020-09-05,77.6
2020-09-06,72.4
2020-09-07,82.1
2020-09-08,68.5
2020-09-09,72.4
2020-09-10,69.2
2020-09-11,66.8
2020-09-12,75.5
2020-09-13,75.9
2020-09-14,67.9
2020-09-15,69.0
2020-09-16,76.3
2020-09-17,67.4
2020-09-18,60.0
2020-09-19,60.3
2020-09-20,64.7
2020-09-21,67.0
2020-09-22,73.9
2020-09-23,79.6
2020-09-24,76.1
2020-09-25,76.9
2020-09-26,79.2
2020-09-27,79.5
2020-09-28,69.8
2020-09-29,63.3
2020-09-30,64.6
2020-10-01,61.1
2020-10-02,55.9
2020-10-03,56.5
2020-10-04,55.1
2020-10-05,56.7
2020-10-06,67.5
2020-10-07,70.4
2020-10-08,67.6
2020-10-09,72.0
2020-10-10,76.1
2020-10-11,63.0
2020-10-12,69.1
2020-10-13,65.5
2020-10-14,65.2
2020-10-15,66.1
2020-10-16,54.0
2020-10-17,54.8
2020-10-18,56.9
2020-10-19,47.1
2020-10-20,53.3
2020-10-21,60.2
2020-10-22,62.9
2020-10-23,72.5
2020-10-24,47.7
2020-10-25,47.9
2020-10-26,46.8
2020-10-27,42.6
2020-10-28,51.9
2020-10-29,51.3
2020-10-30,41.8
2020-10-31,47.2
2020-11-01,49.0
2020-11-02,46.5
2020-11-03,55.5
2020-11-04,63.4
2020-11-05,61.4
2020-11-06,65.0
2020-11-07,65.1
2020-11-08,64.7
2020-11-09,67.1
2020-11-10,69.0
2020-11-11,64.9
2020-11-12,47.9
2020-11-13,46.8
2020-11-14,47.1
2020-11-15,53.7
2020-11-16,44.3
2020-11-17,38.5
2020-11-18,41.2
2020-11-19,58.7
2020-11-20,62.8
2020-11-21,47.6
2020-11-22,37.9
2020-11-23,42.5
2020-11-24,40.6
2020-11-25,48.5
2020-11-26,48.8
2020-11-27,45.3
2020-11-28,44.5
2020-11-29,47.5
2020-11-30,41.5
2020-12-01,33.2
2020-12-02,40.0
2020-12-03,43.1
2020-12-04,43.3
2020-12-05,37.2
2020-12-06,34.3
2020-12-07,36.2
2020-12-08,37.2
2020-12-09,45.2
2020-12-10,43.6
2020-12-11,48.2
2020-12-12,51.7
2020-12-13,40.6
2020-12-14,34.7
2020-12-15,29.2
2020-12-16,34.2
2020-12-17,32.3
2020-12-18,34.1
2020-12-19,37.0
2020-12-20,38.2
2020-12-21,39.1
2020-12-22,38.3
2020-12-23,47.8
2020-12-24,47.6
2020-12-25,25.2
2020-12-26,29.4
2020-12-27,40.6
2020-12-28,41.4
2020-12-29,30.1
2020-12-30,43.5
2020-12-31,33.2
2021-01-01,34.4
2021-01-02,35.8
2021-01-03,35.9
2021-01-04,34.5
2021-01-05,35.1
2021-01-06,38.9
2021-01-07,34.8
2021-01-08,31.0
2021-01-09,38.3
2021-01-10,35.4
2021-01-11,32.8
2021-01-12,34.1
2021-01-13,42.4
2021-01-14,40.8
2021-01-15,36.6
2021-01-16,37.0
2021-01-17,37.3
2021-01-18,35.1
2021-01-19,34.6
2021-01-20,28.9
2021-01-21,40.9
2021-01-22,33.4
2021-01-23,29.0
2021-01-24,27.5
2021-01-25,31.4
2021-01-26,32.1
2021-01-27,26.9
2021-01-28,23.1
2021-01-29,25.5
2021-01-30,27.2
2021-01-31,31.9
2021-02-01,27.4
2021-02-02,32.2
2021-02-03,34.4
2021-02-04,33.8
2021-02-05,34.0
2021-02-06,19.3
2021-02-07,15.1
2021-02-08,19.1
2021-02-09,22.5
2021-02-10,19.3
2021-02-11,22.9
2021-02-12,24.5
2021-02-13,22.0
2021-02-14,23.6
2021-02-15,19.0
2021-02-16,19.1
2021-02-17,17.8
2021-02-18,24.7
2021-02-19,26.2
2021-02-20,28.0
2021-02-21,31.5
2021-02-22,35.7
2021-02-23,42.6
2021-02-24,46.1
2021-02-25,37.8
2021-02-26,36.3
2021-02-27,47.2
2021-02-28,52.2
2021-03-01,41.9
2021-03-02,37.1
2021-03-03,52.9
2021-03-04,35.2
2021-03-05,41.6
2021-03-06,38.6
2021-03-07,36.5
2021-03-08,56.8
2021-03-09,50.0
2021-03-10,59.0
2021-03-11,60.7
2021-03-12,53.7
2021-03-13,47.8
2021-03-14,43.7
2021-03-15,34.6
2021-03-16,49.0
2021-03-17,50.5
2021-03-18,43.1
2021-03-19,42.7
2021-03-20,48.0
2021-03-21,54.7
2021-03-22,61.5
2021-03-23,60.3
2021-03-24,65.3
2021-03-25,60.7
2021-03-26,55.8
2021-03-27,54.7
2021-03-28,50.5
2021-03-29,46.6
2021-03-30,65.1
2021-03-31,57.6
2021-04-01,35.0
2021-04-02,43.1
2021-04-03,58.9
2021-04-04,59.9
2021-04-05,52.9
2021-04-06,69.9
2021-04-07,72.4
2021-04-08,70.3
2021-04-09,68.1
2021-04-10,69.5
2021-04-11,58.4
2021-04-12,59.1
2021-04-13,60.7
2021-04-14,55.3
2021-04-15,50.5
2021-04-16,53.9
2021-04-17,54.7
2021-04-18,59.3
2021-04-19,61.4
2021-04-20,43.7
2021-04-21,42.0
2021-04-22,47.2
2021-04-23,61.0
2021-04-24,56.3
2021-04-25,51.7
2021-04-26,49.4
2021-04-27,75.3
2021-04-28,74.5
2021-04-29,52.2
2021-04-30,54.1
2021-05-01,62.5
2021-05-02,77.8
2021-05-03,66.5
2021-05-04,65.1
2021-05-05,53.4
2021-05-06,52.9
2021-05-07,55.2
2021-05-08,54.2
2021-05-09,46.8
2021-05-10,55.3
2021-05-11,53.8
2021-05-12,60.0
2021-05-13,64.9
2021-05-14,67.6
2021-05-15,68.9
2021-05-16,66.1
2021-05-17,71.1
2021-05-18,74.0
2021-05-19,78.2
2021-05-20,83.2
2021-05-21,84.6
2021-05-22,82.8
2021-05-23,86.7
2021-05-24,74.7
2021-05-25,86.4
2021-05-26,75.8
2021-05-27,64.3
2021-05-28,51.4
2021-05-29,61.0
2021-05-30,66.5
2021-05-31,70.9
2021-06-01,73.3
2021-06-02,69.7
2021-06-03,74.0
2021-06-04,85.1
2021-06-05,84.5
2021-06-06,85.2
2021-06-07,83.1
2021-06-08,83.2
2021-06-09,83.0
2021-06-10,83.0
2021-06-11,85.7
2021-06-12,81.9
2021-06-13,83.2
2021-06-14,76.4
2021-06-15,74.2
2021-06-16,74.6
2021-06-17,80.6
2021-06-18,79.2
2021-06-19,83.2
2021-06-20,86.1
2021-06-21,77.4
2021-06-22,65.9
2021-06-23,72.4
2021-06-24,81.6
2021-06-25,74.8
2021-06-26,81.4
2021-06-27,83.5
2021-06-28,84.7
2021-06-29,88.6
2021-06-30,80.4
2021-07-01,74.7
2021-07-02,73.3
2021-07-03,79.8
2021-07-04,85.0
2021-07-05,90.5
2021-07-06,89.3
2021-07-07,87.3
2021-07-08,79.7
2021-07-09,75.8
2021-07-10,73.8
2021-07-11,68.9
2021-07-12,73.3
2021-07-13,78.8
2021-07-14,81.6
2021-07-15,82.4
2021-07-16,71.6
2021-07-17,77.7
2021-07-18,83.2
2021-07-19,84.1
2021-07-20,85.3
2021-07-21,74.4
2021-07-22,75.2
2021-07-23,74.6
2021-07-24,82.8
2021-07-25,87.2
2021-07-26,88.0
2021-07-27,86.1
2021-07-28,83.1
2021-07-29,85.9
2021-07-30,73.7
2021-07-31,77.3
2021-08-01,74.0
2021-08-02,75.1
2021-08-03,76.0
2021-08-04,79.0
2021-08-05,79.7
2021-08-06,83.7
2021-08-07,82.1
2021-08-08,84.3
2021-08-09,84.6
2021-08-10,88.3
2021-08-11,85.3
2021-08-12,88.1
2021-08-13,84.4
2021-08-14,76.4
2021-08-15,75.1
2021-08-16,75.8
2021-08-17,79.0
2021-08-18,81.2
2021-08-19,82.7
2021-08-20,82.9
2021-08-21,83.0
2021-08-22,86.4
2021-08-23,87.3
2021-08-24,88.9
2021-08-25,87.1
2021-08-26,88.6
2021-08-27,86.0
2021-08-28,87.7
2021-08-29,88.7
2021-08-30,83.8
2021-08-31,78.7
2021-09-01,76.6
2021-09-02,76.3
2021-09-03,73.4
2021-09-04,76.4
2021-09-05,79.4
2021-09-06,76.6
2021-09-07,85.0
2021-09-08,76.6
2021-09-09,69.7
2021-09-10,74.1
2021-09-11,81.2
2021-09-12,84.5
2021-09-13,75.1
2021-09-14,85.6
2021-09-15,73.9
2021-09-16,75.0
2021-09-17,80.0
2021-09-18,75.1
2021-09-19,75.8
2021-09-20,78.0
2021-09-21,77.5
2021-09-22,67.3
2021-09-23,56.4
2021-09-24,70.9
2021-09-25,64.4
2021-09-26,72.8
2021-09-27,78.9
2021-09-28,67.6
2021-09-29,68.1
2021-09-30,67.8
2021-10-01,69.8
2021-10-02,72.5
2021-10-03,73.2
2021-10-04,71.5
2021-10-05,69.5
2021-10-06,69.3
2021-10-07,72.9
2021-10-08,70.5
2021-10-09,72.4
2021-10-10,72.2
2021-10-11,75.5
2021-10-12,70.8
2021-10-13,71.5
2021-10-14,78.2
2021-10-15,67.3
2021-10-16,59.0
2021-10-17,60.9
2021-10-18,63.5
2021-10-19,68.9
2021-10-20,67.3
2021-10-21,64.6
2021-10-22,53.3
2021-10-23,53.8
2021-10-24,52.6
2021-10-25,50.3
2021-10-26,50.9
2021-10-27,54.3
2021-10-28,58.5
2021-10-29,56.1
2021-10-30,51.7
2021-10-31,58.7
2021-11-01,49.0
2021-11-02,45.6
2021-11-03,44.5
2021-11-04,45.4
2021-11-05,47.0
2021-11-06,49.9
2021-11-07,57.5
2021-11-08,60.8
2021-11-09,57.0
2021-11-10,52.8
2021-11-11,62.3
2021-11-12,51.3
2021-11-13,44.1
2021-11-14,37.3
2021-11-15,41.0
2021-11-16,41.5
2021-11-17,60.7
2021-11-18,51.0
2021-11-19,41.4
2021-11-20,40.7
2021-11-21,43.1
2021-11-22,38.0
2021-11-23,35.8
2021-11-24,46.6
2021-11-25,47.3
2021-11-26,33.7
2021-11-27,32.0
2021-11-28,36.7
2021-11-29,37.3
2021-11-30,43.5
2021-12-01,41.2
2021-12-02,51.5
2021-12-03,36.9
2021-12-04,42.4
2021-12-05,49.2
2021-12-06,53.0
2021-12-07,27.8
2021-12-08,31.9
2021-12-09,37.8
2021-12-10,46.2
2021-12-11,58.9
2021-12-12,44.6
2021-12-13,47.2
2021-12-14,45.5
2021-12-15,55.7
2021-12-16,59.2
2021-12-17,40.9
2021-12-18,34.6
2021-12-19,31.9
2021-12-20,39.1
2021-12-21,38.2
2021-12-22,37.1
2021-12-23,37.0
2021-12-24,46.8
2021-12-25,51.7
2021-12-26,38.3
2021-12-27,41.0
2021-12-28,38.2
2021-12-29,40.5
2021-12-30,35.7
2021-12-31,43.2
2022-01-01,41.8
2022-01-02,30.4
2022-01-03,25.7
2022-01-04,33.3
2022-01-05,35.4
2022-01-06,23.7
2022-01-07,20.2
2022-01-08,32.1
2022-01-09,38.4
2022-01-10,21.3
2022-01-11,27.3
2022-01-12,40.9
2022-01-13,37.0
2022-01-14,29.3
2022-01-15,18.1
2022-01-16,30.6
2022-01-17,31.0
2022-01-18,35.1
2022-01-19,37.9
2022-01-20,22.6
2022-01-21,21.8
2022-01-22,26.9
2022-01-23,25.3
2022-01-24,24.7
2022-01-25,21.1
2022-01-26,17.4
2022-01-27,28.3
2022-01-28,25.6
2022-01-29,19.0
2022-01-30,25.6
2022-01-31,27.4
2022-02-01,45.4
2022-02-02,40.6
2022-02-03,24.0
2022-02-04,20.5
2022-02-05,19.2
2022-02-06,25.7
2022-02-07,31.7
2022-02-08,24.0
2022-02-09,37.4
2022-02-10,32.8
2022-02-11,36.2
2022-02-12,35.5
2022-02-13,20.6
