latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.0,-93.299995,255.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,45.4
2020-03-02,34.6
2020-03-03,38.7
2020-03-04,40.3
2020-03-05,39.1
2020-03-06,37.8
2020-03-07,54.6
2020-03-08,62.9
2020-03-09,49.6
2020-03-10,40.2
2020-03-11,46.0
2020-03-12,42.9
2020-03-13,36.2
2020-03-14,33.8
2020-03-15,39.1
2020-03-16,40.1
2020-03-17,43.0
2020-03-18,43.4
2020-03-19,38.2
2020-03-20,32.8
2020-03-21,37.5
2020-03-22,44.5
2020-03-23,47.2
2020-03-24,49.4
2020-03-25,44.9
2020-03-26,49.0
2020-03-27,56.1
2020-03-28,48.2
2020-03-29,48.9
2020-03-30,57.1
2020-03-31,52.6
2020-04-01,54.9
2020-04-02,60.9
2020-04-03,51.2
2020-04-04,42.7
2020-04-05,54.6
2020-04-06,59.7
2020-04-07,68.7
2020-04-08,53.3
2020-04-09,41.2
2020-04-10,45.9
2020-04-11,58.2
2020-04-12,41.4
2020-04-13,33.7
2020-04-14,30.6
2020-04-15,32.9
2020-04-16,42.0
2020-04-17,45.7
2020-04-18,62.7
2020-04-19,47.3
2020-04-20,56.2
2020-04-21,46.0
2020-04-22,63.2
2020-04-23,59.1
2020-04-24,62.7
2020-04-25,66.1
2020-04-26,66.4
2020-04-27,71.2
2020-04-28,54.7
2020-04-29,61.7
2020-04-30,64.3
2020-05-01,70.3
2020-05-02,70.1
2020-05-03,61.1
2020-05-04,58.7
2020-05-05,57.9
2020-05-06,63.6
2020-05-07,57.1
2020-05-08,49.0
2020-05-09,61.0
2020-05-10,49.3
2020-05-11,54.0
2020-05-12,55.3
2020-05-13,57.3
2020-05-14,69.7
2020-05-15,67.4
2020-05-16,60.9
2020-05-17,53.0
2020-05-18,67.2
2020-05-19,69.4
2020-05-20,75.6
2020-05-21,69.0
2020-05-22,67.0
2020-05-23,68.6
2020-05-24,77.7
2020-05-25,77.9
2020-05-26,77.3
2020-05-27,76.0
2020-05-28,76.1
2020-05-29,62.8
2020-05-30,65.0
2020-05-31,74.0
2020-06-01,85.4
2020-06-02,88.3
2020-06-03,82.3
2020-06-04,83.8
2020-06-05,80.5
2020-06-06,77.1
2020-06-07,85.3
2020-06-08,91.7
2020-06-09,86.5
2020-06-10,70.8
2020-06-11,75.0
2020-06-12,75.0
2020-06-13,69.8
2020-06-14,75.5
2020-06-15,83.2
2020-06-16,88.4
2020-06-17,87.5
2020-06-18,83.9
2020-06-19,77.8
2020-06-20,71.9
2020-06-21,83.8
2020-06-22,74.2
2020-06-23,74.4
2020-06-24,76.4
2020-06-25,84.8
2020-06-26,84.7
2020-06-27,85.5
2020-06-28,87.6
2020-06-29,86.3
2020-06-30,87.4
2020-07-01,86.4
2020-07-02,87.7
2020-07-03,88.2
2020-07-04,89.5
2020-07-05,88.6
2020-07-06,84.4
2020-07-07,86.5
2020-07-08,90.7
2020-07-09,84.4
2020-07-10,84.6
2020-07-11,84.1
2020-07-12,82.7
2020-07-13,85.8
2020-07-14,77.5
2020-07-15,80.4
2020-07-16,82.7
2020-07-17,87.2
2020-07-18,91.4
2020-07-19,81.3
2020-07-20,79.8
2020-07-21,78.3
2020-07-22,70.4
2020-07-23,79.8
2020-07-24,90.1
2020-07-25,88.3
2020-07-26,85.1
2020-07-27,81.0
2020-07-28,83.1
2020-07-29,82.3
2020-07-30,79.5
2020-07-31,81.6
2020-08-01,80.5
