latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.800003,-73.9,6.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,42.5
2020-03-02,56.5
2020-03-03,58.9
2020-03-04,54.8
2020-03-05,50.5
2020-03-06,46.0
2020-03-07,45.8
2020-03-08,56.2
2020-03-09,67.1
2020-03-10,61.6
2020-03-11,54.3
2020-03-12,47.8
2020-03-13,66.3
2020-03-14,54.5
2020-03-15,52.0
2020-03-16,42.5
2020-03-17,51.4
2020-03-18,52.2
2020-03-19,50.7
2020-03-20,74.6
2020-03-21,60.1
2020-03-22,42.3
2020-03-23,41.4
2020-03-24,56.6
2020-03-25,45.7
2020-03-26,57.5
2020-03-27,64.4
2020-03-28,52.1
2020-03-29,52.3
2020-03-30,57.8
2020-03-31,46.7
2020-04-01,53.5
2020-04-02,57.5
2020-04-03,48.7
2020-04-04,57.5
2020-04-05,62.9
2020-04-06,63.3
2020-04-07,64.2
2020-04-08,63.1
2020-04-09,59.3
2020-04-10,50.8
2020-04-11,54.0
2020-04-12,60.7
2020-04-13,63.9
2020-04-14,56.8
2020-04-15,52.0
2020-04-16,48.5
2020-04-17,50.9
2020-04-18,49.4
2020-04-19,60.4
2020-04-20,55.3
2020-04-21,60.2
2020-04-22,49.9
2020-04-23,51.6
2020-04-24,48.1
2020-04-25,61.9
2020-04-26,48.7
2020-04-27,49.7
2020-04-28,63.4
2020-04-29,57.2
2020-04-30,61.5
2020-05-01,64.3
2020-05-02,70.4
2020-05-03,77.3
2020-05-04,65.9
2020-05-05,58.9
2020-05-06,52.2
2020-05-07,62.5
2020-05-08,53.1
2020-05-09,47.9
2020-05-10,60.2
2020-05-11,60.1
2020-05-12,57.6
2020-05-13,60.3
2020-05-14,65.3
2020-05-15,80.9
2020-05-16,73.8
2020-05-17,64.9
2020-05-18,66.4
2020-05-19,63.5
2020-05-20,62.0
2020-05-21,65.4
2020-05-22,74.0
2020-05-23,65.8
2020-05-24,65.8
2020-05-25,69.1
2020-05-26,76.2
2020-05-27,74.6
2020-05-28,74.6
2020-05-29,77.5
2020-05-30,78.4
2020-05-31,68.3
2020-06-01,67.7
2020-06-02,72.9
2020-06-03,83.0
2020-06-04,86.2
2020-06-05,79.0
2020-06-06,84.9
2020-06-07,75.3
2020-06-08,77.5
2020-06-09,86.1
2020-06-10,82.8
2020-06-11,76.8
2020-06-12,82.1
2020-06-13,72.8
2020-06-14,72.2
2020-06-15,72.8
2020-06-16,74.5
2020-06-17,76.4
2020-06-18,75.3
2020-06-19,79.5
2020-06-20,83.1
2020-06-21,85.1
2020-06-22,89.2
2020-06-23,85.8
2020-06-24,85.7
2020-06-25,84.5
2020-06-26,85.3
2020-06-27,84.6
2020-06-28,87.2
2020-06-29,85.2
2020-06-30,76.5
2020-07-01,80.2
2020-07-02,89.7
2020-07-03,88.1
2020-07-04,83.4
2020-07-05,90.9
2020-07-06,89.9
2020-07-07,81.4
2020-07-08,85.4
2020-07-09,86.5
