latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.9,-122.3,7.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,60.0
2020-03-02,72.7
2020-03-03,77.6
2020-03-04,76.3
2020-03-05,62.8
2020-03-06,60.0
2020-03-07,53.3
2020-03-08,56.1
2020-03-09,65.8
2020-03-10,72.5
2020-03-11,69.5
2020-03-12,72.0
2020-03-13,62.1
2020-03-14,52.3
2020-03-15,51.7
2020-03-16,52.1
2020-03-17,54.8
2020-03-18,52.9
2020-03-19,57.6
2020-03-20,61.3
2020-03-21,62.3
2020-03-22,66.1
2020-03-23,56.2
2020-03-24,54.6
2020-03-25,55.0
2020-03-26,57.4
2020-03-27,57.5
2020-03-28,55.9
2020-03-29,60.2
2020-03-30,60.9
2020-03-31,64.9
2020-04-01,63.3
2020-04-02,65.2
2020-04-03,65.2
2020-04-04,56.1
2020-04-05,53.7
2020-04-06,52.3
2020-04-07,62.1
2020-04-08,64.5
2020-04-09,62.5
2020-04-10,62.2
2020-04-11,63.4
2020-04-12,67.2
2020-04-13,71.8
2020-04-14,78.2
2020-04-15,75.6
2020-04-16,65.9
2020-04-17,62.4
2020-04-18,65.0
2020-04-19,66.4
2020-04-20,62.9
2020-04-21,71.6
2020-04-22,77.9
2020-04-23,79.3
2020-04-24,84.9
2020-04-25,83.2
2020-04-26,78.4
2020-04-27,79.2
2020-04-28,83.8
2020-04-29,69.4
2020-04-30,74.2
2020-05-01,75.8
2020-05-02,68.8
2020-05-03,73.1
2020-05-04,79.7
2020-05-05,75.3
2020-05-06,85.0
2020-05-07,87.3
2020-05-08,90.1
2020-05-09,72.7
2020-05-10,70.1
2020-05-11,69.4
2020-05-12,64.9
2020-05-13,64.9
2020-05-14,67.5
2020-05-15,74.8
2020-05-16,71.1
2020-05-17,71.9
2020-05-18,64.1
2020-05-19,67.6
2020-05-20,71.7
2020-05-21,76.0
2020-05-22,76.5
2020-05-23,81.0
2020-05-24,85.7
2020-05-25,91.3
2020-05-26,95.2
2020-05-27,93.1
2020-05-28,80.9
2020-05-29,71.4
