latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.90001,-75.2,3.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,44.7
2020-03-02,59.6
2020-03-03,62.2
2020-03-04,58.3
2020-03-05,53.3
2020-03-06,43.2
2020-03-07,47.3
2020-03-08,57.5
2020-03-09,68.5
2020-03-10,61.4
2020-03-11,57.2
2020-03-12,56.6
2020-03-13,70.6
2020-03-14,56.6
2020-03-15,54.4
2020-03-16,50.7
2020-03-17,57.7
2020-03-18,56.6
2020-03-19,58.6
2020-03-20,78.0
2020-03-21,63.0
2020-03-22,43.3
2020-03-23,45.2
2020-03-24,56.7
2020-03-25,46.6
2020-03-26,58.7
2020-03-27,66.5
2020-03-28,51.2
2020-03-29,62.0
2020-03-30,65.1
2020-03-31,49.2
2020-04-01,54.8
2020-04-02,57.2
2020-04-03,55.9
2020-04-04,54.8
2020-04-05,65.9
2020-04-06,65.3
2020-04-07,67.5
2020-04-08,71.7
2020-04-09,66.2
2020-04-10,50.8
2020-04-11,55.1
2020-04-12,69.6
2020-04-13,68.6
2020-04-14,57.9
2020-04-15,52.0
2020-04-16,49.2
2020-04-17,54.0
2020-04-18,53.3
2020-04-19,60.5
2020-04-20,58.1
2020-04-21,62.3
2020-04-22,53.3
2020-04-23,58.9
2020-04-24,48.8
2020-04-25,65.3
2020-04-26,51.2
2020-04-27,53.2
2020-04-28,63.5
2020-04-29,67.3
2020-04-30,66.1
2020-05-01,66.7
2020-05-02,71.2
2020-05-03,75.9
2020-05-04,69.4
2020-05-05,58.7
2020-05-06,51.5
2020-05-07,64.3
2020-05-08,62.3
2020-05-09,47.9
2020-05-10,61.5
2020-05-11,60.5
2020-05-12,57.8
2020-05-13,63.6
2020-05-14,71.3
2020-05-15,81.4
2020-05-16,76.0
2020-05-17,70.5
2020-05-18,65.6
2020-05-19,64.7
2020-05-20,60.1
2020-05-21,70.6
2020-05-22,66.5
2020-05-23,75.1
2020-05-24,69.2
2020-05-25,74.2
2020-05-26,80.1
2020-05-27,78.7
2020-05-28,77.5
2020-05-29,82.8
2020-05-30,80.4
2020-05-31,71.2
2020-06-01,69.5
2020-06-02,74.9
2020-06-03,87.2
2020-06-04,89.2
2020-06-05,83.2
2020-06-06,87.0
2020-06-07,78.0
2020-06-08,78.2
2020-06-09,86.9
2020-06-10,87.8
2020-06-11,81.0
2020-06-12,84.3
2020-06-13,75.0
2020-06-14,75.8
2020-06-15,76.3
2020-06-16,76.7
2020-06-17,75.5
2020-06-18,79.9
2020-06-19,83.3
2020-06-20,82.4
2020-06-21,84.5
2020-06-22,88.4
2020-06-23,89.1
2020-06-24,84.4
2020-06-25,85.1
2020-06-26,86.5
2020-06-27,88.6
2020-06-28,90.0
2020-06-29,89.2
2020-06-30,85.3
2020-07-01,81.8
2020-07-02,90.2
2020-07-03,96.6
2020-07-04,87.1
2020-07-05,94.7
2020-07-06,91.1
2020-07-07,85.0
2020-07-08,88.1
2020-07-09,89.5
2020-07-10,75.8
2020-07-11,88.3
2020-07-12,87.5
2020-07-13,85.8
2020-07-14,85.0
2020-07-15,83.0
2020-07-16,81.4
2020-07-17,88.9
2020-07-18,93.3
2020-07-19,95.2
2020-07-20,95.4
2020-07-21,93.7
2020-07-22,93.8
2020-07-23,88.2
2020-07-24,80.0
2020-07-25,86.7
2020-07-26,91.8
2020-07-27,93.8
2020-07-28,92.2
2020-07-29,92.1
