latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.40001,-80.0,229.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,47.2
2020-03-02,52.4
2020-03-03,56.0
2020-03-04,53.9
2020-03-05,53.0
2020-03-06,46.6
2020-03-07,45.1
2020-03-08,58.9
2020-03-09,64.7
2020-03-10,55.5
2020-03-11,48.4
2020-03-12,64.3
2020-03-13,56.3
2020-03-14,48.4
2020-03-15,50.0
2020-03-16,48.1
2020-03-17,46.9
2020-03-18,59.8
2020-03-19,62.3
2020-03-20,70.9
2020-03-21,44.0
2020-03-22,50.8
2020-03-23,47.0
2020-03-24,53.6
2020-03-25,53.5
2020-03-26,68.3
2020-03-27,61.9
2020-03-28,70.7
2020-03-29,75.6
2020-03-30,58.0
2020-03-31,48.9
2020-04-01,54.4
2020-04-02,56.6
2020-04-03,58.9
2020-04-04,60.2
2020-04-05,66.0
2020-04-06,63.7
2020-04-07,66.1
2020-04-08,69.2
2020-04-09,54.8
2020-04-10,44.2
2020-04-11,53.8
2020-04-12,67.6
2020-04-13,65.4
2020-04-14,47.4
2020-04-15,50.7
2020-04-16,44.5
2020-04-17,47.0
2020-04-18,49.2
2020-04-19,57.9
2020-04-20,59.2
2020-04-21,49.6
2020-04-22,50.0
2020-04-23,64.6
2020-04-24,57.9
2020-04-25,67.2
2020-04-26,52.4
2020-04-27,59.0
2020-04-28,59.4
2020-04-29,74.2
2020-04-30,60.6
2020-05-01,55.4
2020-05-02,68.4
2020-05-03,75.3
2020-05-04,58.0
2020-05-05,53.6
2020-05-06,51.3
2020-05-07,62.0
2020-05-08,51.1
2020-05-09,44.2
2020-05-10,59.5
2020-05-11,48.0
2020-05-12,54.2
2020-05-13,61.9
2020-05-14,72.6
2020-05-15,78.3
2020-05-16,72.8
2020-05-17,78.9
2020-05-18,77.2
2020-05-19,67.9
2020-05-20,64.3
2020-05-21,70.0
2020-05-22,67.0
2020-05-23,72.3
2020-05-24,80.8
2020-05-25,84.7
2020-05-26,86.3
2020-05-27,79.7
2020-05-28,78.4
2020-05-29,78.9
2020-05-30,69.2
2020-05-31,62.9
2020-06-01,68.8
2020-06-02,80.5
2020-06-03,84.2
2020-06-04,84.8
2020-06-05,79.2
2020-06-06,82.1
2020-06-07,75.3
2020-06-08,79.0
2020-06-09,89.7
2020-06-10,88.3
2020-06-11,75.0
2020-06-12,77.8
2020-06-13,70.8
2020-06-14,71.8
2020-06-15,75.3
2020-06-16,80.4
2020-06-17,79.5
2020-06-18,79.5
2020-06-19,78.9
2020-06-20,82.0
2020-06-21,86.7
2020-06-22,82.2
2020-06-23,80.2
2020-06-24,74.2
2020-06-25,80.2
2020-06-26,83.0
2020-06-27,75.1
2020-06-28,82.7
2020-06-29,85.4
2020-06-30,85.6
2020-07-01,83.9
2020-07-02,87.7
2020-07-03,91.1
2020-07-04,91.3
2020-07-05,93.7
2020-07-06,94.3
2020-07-07,94.5
2020-07-08,93.2
2020-07-09,95.5
2020-07-10,94.1
2020-07-11,80.5
2020-07-12,82.3
2020-07-13,81.4
2020-07-14,83.0
2020-07-15,91.3
2020-07-16,92.8
2020-07-17,89.3
2020-07-18,94.5
2020-07-19,93.7
2020-07-20,89.1
2020-07-21,84.8
2020-07-22,85.0
2020-07-23,78.7
2020-07-24,85.2
2020-07-25,87.4
2020-07-26,89.5
2020-07-27,90.0
2020-07-28,85.2
2020-07-29,89.3
2020-07-30,84.1
2020-07-31,86.4
2020-08-01,84.8
2020-08-02,81.1
2020-08-03,83.2
2020-08-04,79.6
2020-08-05,79.4
2020-08-06,83.5
2020-08-07,84.4
2020-08-08,85.6
2020-08-09,89.6
2020-08-10,92.0
2020-08-11,89.2
2020-08-12,90.3
2020-08-13,91.0
2020-08-14,92.0
2020-08-15,82.1
2020-08-16,84.7
2020-08-17,84.3
2020-08-18,80.9
2020-08-19,80.4
2020-08-20,86.7
2020-08-21,87.5
2020-08-22,91.3
2020-08-23,86.7
2020-08-24,86.8
2020-08-25,86.6
2020-08-26,83.5
2020-08-27,88.2
2020-08-28,79.8
2020-08-29,81.4
2020-08-30,76.4
2020-08-31,76.8
2020-09-01,82.3
2020-09-02,77.3
2020-09-03,73.0
2020-09-04,78.0
2020-09-05,78.8
2020-09-06,79.1
2020-09-07,84.7
2020-09-08,87.6
2020-09-09,88.2
2020-09-10,87.5
2020-09-11,76.1
2020-09-12,83.4
2020-09-13,76.0
2020-09-14,73.2
2020-09-15,72.4
2020-09-16,78.3
2020-09-17,77.8
2020-09-18,67.1
2020-09-19,64.4
2020-09-20,67.7
2020-09-21,68.7
2020-09-22,71.5
2020-09-23,78.6
2020-09-24,77.8
2020-09-25,81.4
2020-09-26,77.2
2020-09-27,80.6
2020-09-28,80.6
2020-09-29,69.5
2020-09-30,66.7
2020-10-01,63.7
2020-10-02,59.3
2020-10-03,59.8
2020-10-04,66.1
2020-10-05,59.3
2020-10-06,68.5
2020-10-07,74.6
2020-10-08,64.3
2020-10-09,74.4
2020-10-10,75.1
2020-10-11,72.2
2020-10-12,67.0
2020-10-13,65.5
2020-10-14,69.2
2020-10-15,71.2
2020-10-16,56.7
2020-10-17,59.2
2020-10-18,63.0
2020-10-19,58.0
2020-10-20,61.8
2020-10-21,75.4
2020-10-22,78.9
2020-10-23,76.9
2020-10-24,65.5
2020-10-25,49.8
2020-10-26,57.3
2020-10-27,53.2
2020-10-28,53.6
2020-10-29,51.7
2020-10-30,46.0
2020-10-31,51.2
2020-11-01,52.3
2020-11-02,42.1
2020-11-03,55.1
2020-11-04,65.2
2020-11-05,66.8
2020-11-06,67.7
2020-11-07,69.8
2020-11-08,72.5
2020-11-09,72.8
2020-11-10,76.0
2020-11-11,66.1
2020-11-12,52.6
2020-11-13,54.6
2020-11-14,49.9
2020-11-15,62.9
2020-11-16,48.2
2020-11-17,41.0
2020-11-18,40.8
2020-11-19,59.0
2020-11-20,61.3
2020-11-21,50.8
2020-11-22,59.4
2020-11-23,47.9
2020-11-24,45.0
2020-11-25,55.1
2020-11-26,54.9
2020-11-27,53.2
2020-11-28,46.3
2020-11-29,53.0
2020-11-30,44.5
2020-12-01,35.7
2020-12-02,38.1
2020-12-03,40.7
2020-12-04,43.6
2020-12-05,41.6
2020-12-06,35.2
2020-12-07,34.6
2020-12-08,36.1
2020-12-09,41.6
2020-12-10,48.5
2020-12-11,58.5
2020-12-12,57.9
2020-12-13,53.0
2020-12-14,40.0
2020-12-15,35.6
2020-12-16,32.4
2020-12-17,33.6
2020-12-18,33.3
2020-12-19,38.0
2020-12-20,37.3
2020-12-21,41.7
2020-12-22,42.7
2020-12-23,47.5
2020-12-24,51.0
2020-12-25,28.3
2020-12-26,23.3
2020-12-27,41.1
2020-12-28,42.8
2020-12-29,32.9
2020-12-30,49.0
2020-12-31,48.8
2021-01-01,39.7
2021-01-02,49.1
2021-01-03,41.3
2021-01-04,37.8
2021-01-05,38.8
2021-01-06,38.5
2021-01-07,37.9
2021-01-08,37.3
2021-01-09,39.6
2021-01-10,39.2
2021-01-11,41.9
2021-01-12,37.7
2021-01-13,43.0
2021-01-14,45.7
2021-01-15,47.0
2021-01-16,37.3
2021-01-17,38.9
2021-01-18,35.5
2021-01-19,37.4
2021-01-20,32.3
2021-01-21,41.7
2021-01-22,36.6
2021-01-23,27.9
2021-01-24,30.1
2021-01-25,36.6
2021-01-26,45.4
2021-01-27,34.6
2021-01-28,28.6
2021-01-29,29.1
2021-01-30,34.9
2021-01-31,33.7
2021-02-01,33.8
2021-02-02,31.0
2021-02-03,33.8
2021-02-04,37.4
2021-02-05,39.1
2021-02-06,31.9
2021-02-07,27.0
2021-02-08,30.2
2021-02-09,31.5
2021-02-10,28.2
2021-02-11,28.9
2021-02-12,33.0
2021-02-13,31.6
2021-02-14,30.1
2021-02-15,35.6
2021-02-16,41.9
2021-02-17,27.3
2021-02-18,31.6
2021-02-19,30.3
2021-02-20,26.3
2021-02-21,36.7
2021-02-22,41.4
2021-02-23,46.1
2021-02-24,59.7
2021-02-25,42.1
2021-02-26,42.4
2021-02-27,52.1
2021-02-28,55.4
2021-03-01,55.9
2021-03-02,40.9
2021-03-03,53.4
2021-03-04,36.6
2021-03-05,38.1
2021-03-06,38.5
2021-03-07,42.9
2021-03-08,52.8
2021-03-09,63.0
2021-03-10,68.1
2021-03-11,64.2
2021-03-12,58.9
2021-03-13,49.1
2021-03-14,51.8
2021-03-15,43.6
2021-03-16,59.3
2021-03-17,66.1
2021-03-18,50.7
2021-03-19,47.9
2021-03-20,56.6
2021-03-21,63.3
2021-03-22,65.9
2021-03-23,66.4
2021-03-24,71.5
2021-03-25,73.3
2021-03-26,62.5
2021-03-27,69.7
2021-03-28,59.3
2021-03-29,52.6
2021-03-30,71.0
2021-03-31,58.7
2021-04-01,42.1
2021-04-02,41.2
2021-04-03,52.9
2021-04-04,65.2
2021-04-05,68.6
2021-04-06,75.1
2021-04-07,76.9
2021-04-08,77.5
2021-04-09,73.9
2021-04-10,76.6
2021-04-11,67.0
2021-04-12,60.0
2021-04-13,67.8
2021-04-14,65.6
2021-04-15,51.4
2021-04-16,50.9
2021-04-17,53.4
2021-04-18,59.1
2021-04-19,62.8
2021-04-20,64.6
2021-04-21,43.0
2021-04-22,46.9
2021-04-23,59.7
2021-04-24,61.4
2021-04-25,60.4
2021-04-26,61.4
2021-04-27,78.8
