latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.6,-117.1,6.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,57.2
2020-03-02,58.4
2020-03-03,67.0
2020-03-04,61.6
2020-03-05,67.9
2020-03-06,64.0
2020-03-07,60.7
2020-03-08,61.2
2020-03-09,66.2
2020-03-10,65.2
2020-03-11,64.5
2020-03-12,60.0
2020-03-13,58.5
2020-03-14,61.3
2020-03-15,60.4
2020-03-16,59.6
2020-03-17,57.1
2020-03-18,55.7
2020-03-19,57.7
2020-03-20,60.0
2020-03-21,60.9
2020-03-22,64.2
2020-03-23,60.5
2020-03-24,60.7
2020-03-25,59.1
2020-03-26,56.9
2020-03-27,58.2
2020-03-28,59.9
2020-03-29,61.3
2020-03-30,63.7
2020-03-31,64.8
2020-04-01,62.9
2020-04-02,60.7
2020-04-03,61.6
2020-04-04,59.9
2020-04-05,60.1
2020-04-06,60.0
2020-04-07,60.7
2020-04-08,56.3
2020-04-09,58.4
2020-04-10,56.4
2020-04-11,60.9
2020-04-12,58.4
2020-04-13,59.2
2020-04-14,66.2
2020-04-15,69.2
2020-04-16,66.1
2020-04-17,61.5
2020-04-18,61.5
2020-04-19,62.3
2020-04-20,61.6
2020-04-21,63.0
2020-04-22,68.8
2020-04-23,72.3
2020-04-24,74.2
2020-04-25,73.9
2020-04-26,74.7
2020-04-27,70.1
2020-04-28,69.8
2020-04-29,69.5
2020-04-30,69.7
2020-05-01,70.8
2020-05-02,71.4
2020-05-03,69.4
2020-05-04,71.4
2020-05-05,76.0
2020-05-06,78.6
2020-05-07,78.2
2020-05-08,73.8
2020-05-09,71.9
2020-05-10,70.1
2020-05-11,68.7
2020-05-12,68.5
2020-05-13,66.4
2020-05-14,67.9
2020-05-15,70.1
2020-05-16,71.5
2020-05-17,69.6
2020-05-18,69.2
2020-05-19,65.7
2020-05-20,68.6
2020-05-21,69.8
2020-05-22,68.2
2020-05-23,66.1
2020-05-24,68.6
2020-05-25,72.3
2020-05-26,73.8
2020-05-27,74.9
2020-05-28,69.6
2020-05-29,68.5
2020-05-30,71.0
2020-05-31,71.1
2020-06-01,73.4
2020-06-02,72.3
2020-06-03,76.9
2020-06-04,70.1
2020-06-05,69.4
2020-06-06,66.1
2020-06-07,69.8
2020-06-08,78.9
2020-06-09,85.5
2020-06-10,80.8
2020-06-11,77.1
2020-06-12,70.0
2020-06-13,70.7
2020-06-14,70.2
2020-06-15,70.0
2020-06-16,69.9
2020-06-17,68.8
2020-06-18,68.5
2020-06-19,70.3
2020-06-20,70.2
2020-06-21,70.0
2020-06-22,71.5
2020-06-23,72.4
2020-06-24,70.7
2020-06-25,70.6
2020-06-26,73.7
2020-06-27,71.8
2020-06-28,70.3
2020-06-29,67.7
2020-06-30,70.7
2020-07-01,70.4
2020-07-02,72.0
2020-07-03,76.0
2020-07-04,76.9
2020-07-05,79.7
2020-07-06,78.1
2020-07-07,76.1
2020-07-08,73.4
2020-07-09,74.3
2020-07-10,79.1
2020-07-11,81.6
2020-07-12,82.1
2020-07-13,79.0
2020-07-14,74.2
2020-07-15,73.8
2020-07-16,74.2
2020-07-17,75.7
2020-07-18,76.8
2020-07-19,77.0
2020-07-20,73.5
2020-07-21,73.5
2020-07-22,71.9
2020-07-23,72.0
2020-07-24,72.1
2020-07-25,75.0
2020-07-26,75.9
2020-07-27,73.9
2020-07-28,73.2
2020-07-29,73.6
2020-07-30,76.9
2020-07-31,79.7
2020-08-01,76.4
2020-08-02,76.5
2020-08-03,75.5
2020-08-04,74.5
2020-08-05,72.1
2020-08-06,70.8
2020-08-07,74.1
2020-08-08,74.6
2020-08-09,75.0
2020-08-10,76.0
2020-08-11,76.6
2020-08-12,77.0
2020-08-13,81.8
2020-08-14,84.1
2020-08-15,82.4
2020-08-16,81.2
2020-08-17,81.0
2020-08-18,83.4
2020-08-19,81.4
2020-08-20,81.9
2020-08-21,82.6
2020-08-22,82.4
2020-08-23,82.9
2020-08-24,81.1
2020-08-25,79.8
2020-08-26,79.6
2020-08-27,81.6
2020-08-28,77.9
2020-08-29,76.3
2020-08-30,74.2
2020-08-31,73.3
2020-09-01,74.6
2020-09-02,74.5
2020-09-03,75.9
2020-09-04,79.1
2020-09-05,87.7
2020-09-06,89.2
2020-09-07,81.2
2020-09-08,76.4
2020-09-09,80.2
2020-09-10,82.5
2020-09-11,79.4
2020-09-12,78.8
2020-09-13,78.7
2020-09-14,78.9
2020-09-15,81.8
2020-09-16,85.1
2020-09-17,86.1
2020-09-18,84.5
2020-09-19,79.4
2020-09-20,74.9
2020-09-21,75.6
2020-09-22,77.2
2020-09-23,80.1
2020-09-24,78.8
2020-09-25,74.7
2020-09-26,74.2
2020-09-27,72.3
2020-09-28,78.9
2020-09-29,85.0
2020-09-30,91.8
2020-10-01,87.1
2020-10-02,85.1
2020-10-03,83.4
2020-10-04,84.4
2020-10-05,84.7
2020-10-06,80.9
2020-10-07,76.3
2020-10-08,71.1
2020-10-09,72.2
2020-10-10,72.6
2020-10-11,73.8
2020-10-12,81.7
2020-10-13,85.4
2020-10-14,79.3
2020-10-15,82.0
2020-10-16,82.3
2020-10-17,77.5
2020-10-18,76.9
2020-10-19,73.1
2020-10-20,71.6
2020-10-21,70.1
2020-10-22,69.5
2020-10-23,70.6
2020-10-24,68.8
2020-10-25,66.1
2020-10-26,71.1
2020-10-27,71.8
2020-10-28,72.1
2020-10-29,74.2
2020-10-30,73.7
2020-10-31,74.1
2020-11-01,76.3
2020-11-02,72.5
2020-11-03,71.4
2020-11-04,75.9
2020-11-05,80.0
2020-11-06,71.1
2020-11-07,62.5
2020-11-08,60.1
2020-11-09,59.8
2020-11-10,64.3
2020-11-11,64.3
2020-11-12,64.3
2020-11-13,63.8
2020-11-14,66.3
2020-11-15,75.7
2020-11-16,78.5
2020-11-17,74.2
2020-11-18,65.9
2020-11-19,67.2
2020-11-20,68.3
2020-11-21,68.0
2020-11-22,67.0
2020-11-23,62.3
2020-11-24,63.6
2020-11-25,63.1
2020-11-26,61.7
2020-11-27,66.6
2020-11-28,68.2
2020-11-29,69.5
2020-11-30,71.3
2020-12-01,68.4
2020-12-02,71.6
2020-12-03,70.3
2020-12-04,69.0
2020-12-05,66.4
2020-12-06,67.6
2020-12-07,65.4
2020-12-08,70.4
2020-12-09,68.1
2020-12-10,62.3
2020-12-11,59.3
2020-12-12,60.7
2020-12-13,66.1
2020-12-14,59.2
2020-12-15,65.8
2020-12-16,67.3
2020-12-17,60.1
2020-12-18,63.8
2020-12-19,67.5
2020-12-20,71.4
2020-12-21,70.3
2020-12-22,64.4
2020-12-23,67.3
2020-12-24,67.9
2020-12-25,67.0
2020-12-26,63.7
2020-12-27,60.0
2020-12-28,56.9
2020-12-29,58.4
2020-12-30,60.8
2020-12-31,58.5
2021-01-01,63.4
2021-01-02,60.3
2021-01-03,58.5
2021-01-04,59.6
2021-01-05,60.4
2021-01-06,60.7
2021-01-07,63.9
2021-01-08,62.3
2021-01-09,64.0
2021-01-10,66.3
2021-01-11,66.2
2021-01-12,67.0
2021-01-13,68.0
2021-01-14,73.9
2021-01-15,79.6
2021-01-16,72.0
2021-01-17,74.2
2021-01-18,68.8
2021-01-19,66.0
2021-01-20,66.4
2021-01-21,64.0
2021-01-22,60.4
2021-01-23,55.3
2021-01-24,54.9
2021-01-25,52.0
2021-01-26,53.7
2021-01-27,57.2
2021-01-28,59.5
2021-01-29,56.2
2021-01-30,58.0
2021-01-31,64.0
2021-02-01,64.6
2021-02-02,63.9
2021-02-03,60.9
2021-02-04,58.3
2021-02-05,60.6
2021-02-06,64.3
2021-02-07,62.8
2021-02-08,58.1
2021-02-09,56.2
2021-02-10,58.7
2021-02-11,61.1
