latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.600006,-90.2,146.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,67.8
2020-03-02,54.3
2020-03-03,59.2
2020-03-04,55.5
2020-03-05,60.4
2020-03-06,49.5
2020-03-07,56.7
2020-03-08,66.2
2020-03-09,58.0
2020-03-10,57.3
2020-03-11,61.7
2020-03-12,61.1
2020-03-13,54.7
2020-03-14,44.4
2020-03-15,46.3
2020-03-16,44.2
2020-03-17,52.4
2020-03-18,61.2
2020-03-19,68.1
2020-03-20,67.3
2020-03-21,45.9
2020-03-22,41.5
2020-03-23,50.4
2020-03-24,48.9
2020-03-25,63.5
2020-03-26,78.4
2020-03-27,79.9
2020-03-28,71.7
2020-03-29,65.5
2020-03-30,65.1
2020-03-31,60.0
2020-04-01,60.1
2020-04-02,68.0
2020-04-03,71.8
2020-04-04,49.7
2020-04-05,52.3
2020-04-06,71.7
2020-04-07,81.6
2020-04-08,85.2
2020-04-09,61.1
2020-04-10,55.7
2020-04-11,63.7
2020-04-12,63.6
2020-04-13,56.6
2020-04-14,50.2
2020-04-15,50.1
2020-04-16,57.5
2020-04-17,50.6
2020-04-18,59.9
2020-04-19,67.6
2020-04-20,68.4
2020-04-21,62.6
2020-04-22,70.3
2020-04-23,59.7
2020-04-24,72.4
2020-04-25,59.6
2020-04-26,65.5
2020-04-27,68.6
2020-04-28,78.8
2020-04-29,63.4
2020-04-30,67.2
2020-05-01,75.8
2020-05-02,83.7
2020-05-03,71.3
2020-05-04,71.7
2020-05-05,66.2
2020-05-06,60.7
2020-05-07,66.5
2020-05-08,58.5
2020-05-09,62.9
2020-05-10,57.1
2020-05-11,57.6
2020-05-12,57.5
2020-05-13,62.3
2020-05-14,80.3
2020-05-15,73.8
2020-05-16,78.7
2020-05-17,70.4
2020-05-18,63.1
2020-05-19,66.1
2020-05-20,67.2
2020-05-21,67.9
2020-05-22,78.5
2020-05-23,86.5
2020-05-24,85.1
2020-05-25,87.4
2020-05-26,82.1
2020-05-27,73.2
2020-05-28,79.6
2020-05-29,77.3
2020-05-30,74.9
2020-05-31,78.4
2020-06-01,80.9
2020-06-02,87.3
2020-06-03,87.8
2020-06-04,83.3
2020-06-05,88.2
2020-06-06,92.0
2020-06-07,90.8
2020-06-08,88.4
2020-06-09,87.9
2020-06-10,82.9
2020-06-11,82.1
2020-06-12,87.2
2020-06-13,86.4
2020-06-14,80.1
2020-06-15,81.5
2020-06-16,83.7
2020-06-17,83.9
2020-06-18,87.2
2020-06-19,89.7
2020-06-20,91.2
2020-06-21,86.2
2020-06-22,87.5
2020-06-23,79.6
2020-06-24,81.0
2020-06-25,87.6
2020-06-26,92.1
2020-06-27,85.9
2020-06-28,89.5
2020-06-29,88.0
2020-06-30,82.5
2020-07-01,88.3
2020-07-02,87.0
2020-07-03,89.4
2020-07-04,89.1
2020-07-05,89.0
2020-07-06,90.2
2020-07-07,91.7
2020-07-08,88.8
2020-07-09,92.9
2020-07-10,89.3
2020-07-11,94.1
2020-07-12,84.7
2020-07-13,86.4
2020-07-14,90.6
2020-07-15,88.4
2020-07-16,85.7
2020-07-17,90.2
2020-07-18,92.9
2020-07-19,92.4
2020-07-20,83.0
2020-07-21,89.9
2020-07-22,87.2
2020-07-23,88.3
2020-07-24,89.5
2020-07-25,90.8
2020-07-26,91.8
2020-07-27,86.4
2020-07-28,87.8
2020-07-29,88.5
2020-07-30,81.2
2020-07-31,74.8
2020-08-01,76.5
2020-08-02,82.2
2020-08-03,77.2
2020-08-04,73.0
2020-08-05,75.3
2020-08-06,79.4
2020-08-07,83.4
2020-08-08,86.2
2020-08-09,87.5
2020-08-10,93.3
2020-08-11,83.0
2020-08-12,85.7
2020-08-13,82.1
2020-08-14,85.7
2020-08-15,86.7
2020-08-16,84.2
2020-08-17,87.0
2020-08-18,80.4
2020-08-19,79.3
2020-08-20,81.4
2020-08-21,82.9
2020-08-22,85.2
2020-08-23,90.2
2020-08-24,92.0
2020-08-25,91.9
2020-08-26,86.1
2020-08-27,85.7
2020-08-28,83.9
2020-08-29,83.0
2020-08-30,82.1
2020-08-31,81.7
2020-09-01,76.5
2020-09-02,81.1
2020-09-03,87.4
2020-09-04,79.5
2020-09-05,84.9
2020-09-06,87.9
2020-09-07,90.0
2020-09-08,88.7
2020-09-09,85.2
2020-09-10,83.4
2020-09-11,83.8
2020-09-12,78.8
2020-09-13,77.7
2020-09-14,81.6
2020-09-15,80.6
2020-09-16,81.3
2020-09-17,77.3
2020-09-18,71.9
2020-09-19,69.8
2020-09-20,74.1
2020-09-21,76.7
2020-09-22,74.6
2020-09-23,76.0
2020-09-24,73.4
2020-09-25,79.1
2020-09-26,83.3
2020-09-27,81.0
2020-09-28,65.9
2020-09-29,63.4
2020-09-30,78.2
2020-10-01,64.1
2020-10-02,60.2
2020-10-03,63.4
2020-10-04,58.3
2020-10-05,64.1
2020-10-06,78.4
2020-10-07,84.8
2020-10-08,82.4
2020-10-09,82.6
2020-10-10,78.9
2020-10-11,82.5
2020-10-12,72.1
2020-10-13,77.8
2020-10-14,81.9
2020-10-15,69.7
2020-10-16,61.5
2020-10-17,67.3
2020-10-18,65.1
2020-10-19,50.6
2020-10-20,61.5
2020-10-21,63.2
2020-10-22,81.6
2020-10-23,69.9
2020-10-24,50.4
2020-10-25,49.8
2020-10-26,47.8
2020-10-27,39.7
2020-10-28,49.9
2020-10-29,48.2
2020-10-30,53.8
2020-10-31,61.7
2020-11-01,53.3
2020-11-02,56.0
2020-11-03,68.9
2020-11-04,72.3
2020-11-05,70.7
2020-11-06,72.1
2020-11-07,72.5
2020-11-08,73.5
2020-11-09,73.6
2020-11-10,74.0
2020-11-11,51.7
2020-11-12,56.3
2020-11-13,48.8
2020-11-14,60.5
2020-11-15,61.6
2020-11-16,62.4
2020-11-17,50.5
2020-11-18,55.1
2020-11-19,66.6
2020-11-20,66.5
2020-11-21,53.4
2020-11-22,47.9
2020-11-23,48.1
2020-11-24,55.6
2020-11-25,58.4
2020-11-26,52.4
2020-11-27,52.7
2020-11-28,51.5
2020-11-29,51.9
2020-11-30,39.5
2020-12-01,40.0
2020-12-02,45.2
2020-12-03,46.0
2020-12-04,48.0
2020-12-05,50.1
2020-12-06,45.1
2020-12-07,42.2
2020-12-08,46.7
2020-12-09,59.4
2020-12-10,62.3
2020-12-11,57.7
2020-12-12,55.3
2020-12-13,39.4
2020-12-14,37.1
2020-12-15,34.9
2020-12-16,34.9
2020-12-17,35.4
2020-12-18,43.4
2020-12-19,50.9
2020-12-20,49.7
2020-12-21,55.1
2020-12-22,51.7
2020-12-23,56.9
2020-12-24,33.5
2020-12-25,26.1
2020-12-26,44.4
2020-12-27,56.5
2020-12-28,38.9
2020-12-29,35.7
2020-12-30,43.0
2020-12-31,34.6
2021-01-01,36.1
2021-01-02,34.1
2021-01-03,42.6
2021-01-04,44.1
2021-01-05,46.6
2021-01-06,44.3
2021-01-07,38.1
2021-01-08,37.1
2021-01-09,33.3
2021-01-10,31.6
2021-01-11,35.9
2021-01-12,48.6
2021-01-13,51.2
2021-01-14,47.9
2021-01-15,36.5
2021-01-16,37.8
2021-01-17,37.6
2021-01-18,44.3
2021-01-19,44.7
2021-01-20,45.1
2021-01-21,52.2
2021-01-22,35.1
2021-01-23,38.1
2021-01-24,40.7
2021-01-25,38.9
2021-01-26,41.3
2021-01-27,31.9
2021-01-28,33.5
2021-01-29,41.8
2021-01-30,42.7
2021-01-31,44.9
2021-02-01,36.2
2021-02-02,38.3
2021-02-03,44.3
2021-02-04,44.7
2021-02-05,42.0
2021-02-06,32.3
2021-02-07,22.8
2021-02-08,26.1
2021-02-09,26.2
2021-02-10,22.4
2021-02-11,23.1
2021-02-12,20.4
2021-02-13,14.7
2021-02-14,6.7
2021-02-15,6.7
2021-02-16,16.7
2021-02-17,22.4
2021-02-18,24.0
2021-02-19,29.7
2021-02-20,39.2
2021-02-21,45.0
2021-02-22,54.2
2021-02-23,63.5
2021-02-24,56.9
2021-02-25,47.8
2021-02-26,48.8
2021-02-27,58.9
2021-02-28,62.1
2021-03-01,50.0
2021-03-02,54.5
2021-03-03,65.0
2021-03-04,60.5
2021-03-05,49.6
2021-03-06,55.5
2021-03-07,63.7
2021-03-08,66.9
2021-03-09,70.7
2021-03-10,67.4
2021-03-11,65.8
2021-03-12,60.4
2021-03-13,59.4
2021-03-14,52.4
2021-03-15,62.3
2021-03-16,59.6
2021-03-17,59.2
2021-03-18,55.0
2021-03-19,53.7
2021-03-20,59.7
2021-03-21,66.2
2021-03-22,66.2
2021-03-23,63.2
2021-03-24,65.7
2021-03-25,55.0
2021-03-26,62.3
2021-03-27,77.4
2021-03-28,57.3
2021-03-29,66.8
2021-03-30,71.1
2021-03-31,52.0
2021-04-01,45.6
2021-04-02,53.4
2021-04-03,69.9
2021-04-04,75.9
2021-04-05,77.7
2021-04-06,78.5
2021-04-07,74.9
2021-04-08,61.6
2021-04-09,77.7
2021-04-10,61.6
2021-04-11,67.6
2021-04-12,66.8
2021-04-13,61.9
2021-04-14,61.7
2021-04-15,57.5
2021-04-16,59.9
2021-04-17,59.2
2021-04-18,64.4
2021-04-19,68.6
2021-04-20,45.7
2021-04-21,51.5
2021-04-22,55.3
2021-04-23,57.2
2021-04-24,56.1
2021-04-25,66.8
2021-04-26,78.1
2021-04-27,80.3
2021-04-28,72.5
2021-04-29,70.7
2021-04-30,75.9
2021-05-01,81.0
2021-05-02,73.7
2021-05-03,79.6
2021-05-04,66.5
2021-05-05,66.7
2021-05-06,64.1
2021-05-07,70.6
2021-05-08,60.8
2021-05-09,63.3
2021-05-10,61.5
2021-05-11,59.6
2021-05-12,63.2
2021-05-13,65.8
2021-05-14,69.7
2021-05-15,66.7
2021-05-16,74.1
2021-05-17,72.8
2021-05-18,70.5
2021-05-19,76.1
2021-05-20,80.6
2021-05-21,82.4
2021-05-22,81.5
2021-05-23,84.7
2021-05-24,83.1
2021-05-25,83.2
2021-05-26,83.5
2021-05-27,83.8
2021-05-28,68.0
2021-05-29,63.3
2021-05-30,70.9
2021-05-31,74.5
2021-06-01,71.3
2021-06-02,71.5
2021-06-03,78.9
2021-06-04,82.8
2021-06-05,85.0
2021-06-06,81.8
2021-06-07,82.5
2021-06-08,79.0
2021-06-09,81.6
2021-06-10,87.0
2021-06-11,89.9
2021-06-12,91.8
2021-06-13,88.4
2021-06-14,92.6
2021-06-15,86.6
2021-06-16,86.6
2021-06-17,93.7
2021-06-18,98.1
2021-06-19,92.8
2021-06-20,92.2
2021-06-21,83.5
2021-06-22,78.9
2021-06-23,83.4
2021-06-24,87.4
2021-06-25,91.4
2021-06-26,90.2
2021-06-27,86.4
2021-06-28,86.1
2021-06-29,89.3
2021-06-30,84.4
2021-07-01,82.7
2021-07-02,80.2
2021-07-03,81.6
2021-07-04,86.8
2021-07-05,88.5
2021-07-06,89.2
2021-07-07,88.1
2021-07-08,84.6
2021-07-09,87.6
2021-07-10,82.3
2021-07-11,80.4
2021-07-12,81.7
2021-07-13,81.2
2021-07-14,88.0
2021-07-15,89.2
2021-07-16,78.7
2021-07-17,83.4
2021-07-18,83.3
2021-07-19,83.9
2021-07-20,85.4
2021-07-21,86.8
2021-07-22,88.1
2021-07-23,88.4
2021-07-24,91.9
2021-07-25,88.3
2021-07-26,90.6
2021-07-27,91.1
2021-07-28,93.0
2021-07-29,98.3
2021-07-30,86.6
2021-07-31,83.0
2021-08-01,82.5
2021-08-02,78.5
2021-08-03,80.1
2021-08-04,81.9
2021-08-05,85.1
2021-08-06,86.7
2021-08-07,90.0
2021-08-08,91.3
2021-08-09,86.7
2021-08-10,90.5
2021-08-11,95.5
2021-08-12,94.7
2021-08-13,86.2
2021-08-14,84.8
2021-08-15,81.6
2021-08-16,82.0
2021-08-17,85.5
2021-08-18,87.8
2021-08-19,86.6
2021-08-20,88.2
2021-08-21,87.0
2021-08-22,88.1
2021-08-23,92.5
2021-08-24,94.1
2021-08-25,95.7
2021-08-26,92.4
2021-08-27,91.8
2021-08-28,91.3
2021-08-29,89.3
2021-08-30,86.0
2021-08-31,85.0
2021-09-01,82.8
2021-09-02,81.0
2021-09-03,79.6
2021-09-04,78.1
2021-09-05,79.6
2021-09-06,85.2
2021-09-07,88.5
2021-09-08,80.3
2021-09-09,78.8
2021-09-10,84.6
2021-09-11,91.6
2021-09-12,90.0
2021-09-13,88.0
2021-09-14,88.2
2021-09-15,81.2
2021-09-16,84.0
2021-09-17,85.3
2021-09-18,86.0
2021-09-19,84.5
2021-09-20,83.4
2021-09-21,75.9
2021-09-22,70.6
2021-09-23,71.3
2021-09-24,80.9
2021-09-25,74.0
2021-09-26,84.0
2021-09-27,90.6
2021-09-28,88.3
2021-09-29,86.4
2021-09-30,83.6
2021-10-01,80.9
2021-10-02,75.8
2021-10-03,76.5
2021-10-04,75.6
2021-10-05,74.0
2021-10-06,74.5
2021-10-07,73.1
2021-10-08,81.4
2021-10-09,84.8
2021-10-10,85.9
2021-10-11,75.5
2021-10-12,76.8
2021-10-13,80.5
2021-10-14,75.1
2021-10-15,67.7
2021-10-16,63.1
2021-10-17,69.5
2021-10-18,73.7
2021-10-19,70.5
2021-10-20,77.2
2021-10-21,66.3
2021-10-22,58.8
2021-10-23,59.7
2021-10-24,77.5
2021-10-25,65.6
2021-10-26,60.5
2021-10-27,63.6
2021-10-28,60.3
2021-10-29,54.3
2021-10-30,58.7
2021-10-31,58.2
2021-11-01,48.1
2021-11-02,49.0
2021-11-03,50.3
2021-11-04,51.6
2021-11-05,53.4
2021-11-06,59.2
2021-11-07,66.0
2021-11-08,71.4
2021-11-09,64.5
2021-11-10,69.0
2021-11-11,58.8
2021-11-12,48.8
2021-11-13,41.4
2021-11-14,48.5
2021-11-15,59.6
2021-11-16,69.3
2021-11-17,66.9
2021-11-18,47.9
2021-11-19,45.6
2021-11-20,57.9
2021-11-21,58.3
2021-11-22,44.7
2021-11-23,48.0
2021-11-24,60.3
2021-11-25,56.0
2021-11-26,41.0
2021-11-27,57.1
2021-11-28,47.5
2021-11-29,53.7
2021-11-30,54.1
2021-12-01,62.6
2021-12-02,66.2
2021-12-03,68.4
2021-12-04,52.4
2021-12-05,60.7
2021-12-06,56.0
2021-12-07,31.7
2021-12-08,45.3
2021-12-09,61.7
2021-12-10,65.8
2021-12-11,65.2
2021-12-12,52.2
2021-12-13,56.5
2021-12-14,63.3
2021-12-15,67.3
2021-12-16,66.5
2021-12-17,41.7
2021-12-18,41.3
2021-12-19,37.9
2021-12-20,45.1
